lem,index,token,stem,pos,counts
cult,682,cult,cult,NN,122
footage,2415,footage,footag,NN,121
star,629,star,star,NN,121
crash,174,crash,crash,NN,121
spain,1432,spain,spain,NN,121
flashback,2233,flashback,flashback,NN,121
home,620,home,home,NN,119
robot,2008,robot,robot,NN,119
giant,2364,giant,giant,NN,118
forest,1678,forest,forest,NN,118
sword,2682,sword,sword,NN,117
camp,2028,camp,camp,NN,117
fbi,883,fbi,fbi,NN,116
lesbian,938,lesbian,lesbian,JJ,115
conspiracy,1246,conspiracy,conspiraci,NN,115
soccer,2123,soccer,soccer,NN,114
animation,269,animation,anim,NN,114
hunt,328,hunting,hunt,VB,114
shark,651,shark,shark,NN,114
singer,64,singer,singer,NN,114
political,476,political,polit,JJ,112
competition,602,competition,competit,NN,112
terrorist,95,terrorist,terrorist,NN,112
found,789,founding,found,VB,112
dead,129,dead,dead,JJ,111
infidelity,3404,infidelity,infidel,NN,111
miss,1006,missing,miss,VB,111
band,1326,band,band,NN,111
addiction,928,addiction,addict,NN,111
crisis,3109,crisis,crisi,NN,110
china,113,china,china,NN,109
childhood,1623,childhood,childhood,NN,109
rivalry,630,rivalry,rivalri,NN,109
fire,76,fire,fire,NN,108
satire,331,satire,satir,NN,108
sea,1923,sea,sea,NN,108
psychopath,1473,psychopath,psychopath,NN,107
accident,1714,accident,accid,NN,107
romantic,538,romantic,romant,JJ,107
witch,413,witch,witch,NN,107
die,3069,dying,die,VB,106
neonoir,1942,neonoir,neonoir,NN,106
divorce,725,divorce,divorc,NN,106
scientist,177,scientist,scientist,NN,105
africa,763,africa,africa,NN,105
spy,71,spy,spi,NN,105
protagonist,136,protagonist,protagonist,NN,105
rescue,158,rescue,rescu,NN,105
disaster,313,disaster,disast,NN,105
beach,1504,beach,beach,NN,105
mafia,1935,mafia,mafia,NN,103
date,429,date,date,NN,103
tale,558,tale,tale,NN,103
demon,1080,demon,demon,NN,103
lawyer,723,lawyer,lawyer,NN,102
hostage,5945,hostage,hostag,NN,102
assassin,72,assassin,assassin,NN,102
group,1427,group,group,NN,102
officer,34,officer,offic,NN,102
korea,444,korea,korea,NN,101
drama,205,drama,drama,NN,101
heist,1694,heist,heist,NN,101
journalist,3021,journalist,journalist,NN,100
creature,1896,creature,creatur,NN,100
neighbor,1380,neighbor,neighbor,NN,100
sexuality,8875,sexuality,sexual,NN,99
battle,4419,battle,battl,NN,99
triangle,295,triangle,triangl,NN,98
first,2224,first,first,RB,98
past,881,past,past,NN,97
undercover,7157,undercover,undercov,NN,97
airplane,8374,airplane,airplan,NN,96
cancer,505,cancer,cancer,NN,96
memory,144,memory,memori,NN,96
parody,3387,parody,parodi,NN,96
conflict,3876,conflicts,conflict,NN,96
mountain,1206,mountains,mountain,NN,95
snow,530,snow,snow,NN,94
brazilian,10201,brazilian,brazilian,JJ,94
australia,1826,australia,australia,NN,94
live,26,live,live,JJ,93
station,718,station,station,NN,93
lover,4996,lovers,lover,NN,93
computer,268,computer,comput,NN,93
concert,2892,concert,concert,NN,92
trap,287,trapped,trap,VB,92
village,2646,village,villag,NN,92
postapocalyptic,500,postapocalyptic,postapocalypt,JJ,92
camera,403,camera,camera,NN,91
club,3722,club,club,NN,91
religion,2326,religion,religion,NN,91
civil,1659,civil,civil,JJ,91
wood,559,woods,wood,NN,91
train,3130,train,train,NN,90
bomb,877,bomb,bomb,NN,89
church,346,church,church,NN,89
vacation,1136,vacation,vacat,NN,89
post,350,post,post,NN,89
restaurant,3752,restaurant,restaur,NN,89
desert,8264,deserted,desert,VB,89
surrealism,528,surrealism,surreal,NN,89
mission,159,mission,mission,NN,88
spoof,4151,spoof,spoof,NN,88
twin,1807,twins,twin,NN,88
brutality,1729,brutality,brutal,NN,88
culture,582,culture,cultur,NN,88
prostitution,48,prostitution,prostitut,NN,88
jealousy,19124,jealousy,jealousi,NN,87
universe,6,universe,univers,NN,87
attempt,1736,attempt,attempt,NN,87
dysfunctional,2125,dysfunctional,dysfunct,NN,87
mexico,965,mexico,mexico,NN,86
disorder,4737,disorder,disord,NN,86
president,3100,president,presid,NN,86
thief,1691,thieves,thiev,NN,86
possession,1378,possession,possess,NN,85
dealer,85,dealer,dealer,NN,85
childrens,248,childrens,children,NN,85
experiment,2747,experiment,experi,NN,85
rural,2290,rural,rural,JJ,84
horse,1653,horse,hors,NN,84
alcohol,2975,alcohol,alcohol,NN,84
french,850,french,french,JJ,84
slasher,3191,slasher,slasher,NN,84
ancient,1389,ancient,ancient,NN,84
queen,4624,queen,queen,NN,84
hitman,1139,hitman,hitman,NN,84
area,3593,area,area,NN,83
show,971,show,show,NN,83
food,3754,food,food,NN,82
india,81,india,india,NN,82
toy,376,toy,toy,NN,81
depression,4385,depression,depress,NN,81
reality,393,reality,realiti,NN,81
pop,628,pop,pop,NN,81
intelligence,5104,intelligence,intellig,NN,81
manga,1078,manga,manga,NN,81
usa,1147,usa,usa,NN,81
body,4215,body,bodi,NN,81
run,2524,run,run,VB,80
team,94,team,team,NN,80
kid,458,kid,kid,NN,80
extramarital,13041,extramarital,extramarit,NN,80
cat,689,cat,cat,NN,80
cia,5656,cia,cia,NN,80
bar,23,bar,bar,NN,79
russia,109,russia,russia,NN,78
actor,4555,actor,actor,NN,78
apocalypse,318,apocalypse,apocalyps,NN,78
driver,3244,driver,driver,NN,77
middle,3393,middle,middl,NN,77
fall,3309,falls,fall,NN,77
little,14890,little,littl,JJ,77
documentary,1955,documentary,documentari,NN,77
traffic,1016,trafficking,traffick,VB,77
spirit,1177,spirit,spirit,NN,77
nightmare,1412,nightmare,nightmar,NN,76
ship,243,ship,ship,NN,76
hollywood,910,hollywood,hollywood,NN,76
halloween,543,halloween,halloween,NN,76
british,860,british,british,JJ,76
crush,231,crush,crush,NN,76
terrorism,89,terrorism,terror,NN,75
canada,1372,canada,canada,NN,75
white,2788,white,white,JJ,75
job,1385,job,job,NN,74
mystery,198,mystery,mysteri,NN,74
racism,755,racism,racism,NN,74
orphan,941,orphan,orphan,NN,74
priest,1584,priest,priest,NN,74
phone,732,phone,phone,NN,73
swim,462,swimming,swim,VB,73
government,2844,government,govern,NN,73
musician,65,musician,musician,NN,73
prisoner,2423,prisoner,prison,NN,73
fantasy,133,fantasy,fantasi,NN,73
fear,2138,fear,fear,NN,73
texas,2476,texas,texa,NN,72
obsession,6014,obsession,obsess,NN,72
action,27,action,action,NN,72
alcoholic,911,alcoholic,alcohol,JJ,72
religious,841,religious,religi,JJ,71
night,2275,night,night,NN,71
virus,594,virus,viru,NN,71
marijuana,2714,marijuana,marijuana,NN,71
shootout,1656,shootout,shootout,NN,71
right,481,right,right,NN,70
bear,2223,bear,bear,NN,70
explosion,1280,explosion,explos,NN,69
baby,2521,baby,babi,NN,69
hunter,1552,hunter,hunter,NN,69
nuclear,97,nuclear,nuclear,JJ,69
ice,837,ice,ice,NN,69
kill,1262,killing,kill,VB,69
bullying,544,bullying,bulli,NN,69
room,1967,room,room,NN,68
author,3064,author,author,NN,68
anthropomorphism,701,anthropomorphism,anthropomorph,NN,68
radio,970,radio,radio,NN,68
werewolf,1219,werewolf,werewolf,NN,68
farm,525,farm,farm,NN,68
humor,4665,humor,humor,NN,68
university,1194,university,univers,NN,68
santa,868,santa,santa,NN,68
funeral,1988,funeral,funer,JJ,68
curse,614,curse,curs,NN,68
country,616,country,countri,NN,68
one,49856,ones,one,NN,68
adultery,1495,adultery,adulteri,NN,68
cartoon,1460,cartoon,cartoon,NN,67
betrayal,5557,betrayal,betray,NN,67
dragon,2000,dragon,dragon,NN,66
service,3006,service,servic,NN,66
amnesia,4811,amnesia,amnesia,NN,66
shoot,2306,shooting,shoot,VB,65
park,1932,park,park,NN,65
lie,2109,lying,lie,VB,65
berlin,2880,berlin,berlin,NN,64
record,1318,recording,record,VB,64
celebrity,2618,celebrity,celebr,NN,64
treasure,4070,treasure,treasur,NN,64
private,2239,private,privat,JJ,64
illegal,3414,illegal,illeg,JJ,64
internet,576,internet,internet,NN,63
interview,2619,interview,interview,NN,63
assassination,1735,assassination,assassin,NN,63
scene,88,scene,scene,NN,63
japanese,3674,japanese,japanes,JJ,63
fashion,9392,fashion,fashion,NN,63
theft,1700,theft,theft,NN,62
problem,3439,problems,problem,NN,62
girlfriend,3379,girlfriend,girlfriend,NN,62
chinese,2686,chinese,chines,JJ,62
filmmaking,2938,filmmaking,filmmak,VB,62
force,292,force,forc,NN,61
fighter,640,fighter,fighter,NN,61
faith,2428,faith,faith,NN,61
trauma,1797,trauma,trauma,NN,61
psychological,532,psychological,psycholog,JJ,61
relation,1291,relations,relat,NN,60
planet,320,planet,planet,NN,60
cheat,2200,cheating,cheat,VB,60
society,3740,society,societi,NN,60
loneliness,1645,loneliness,loneli,NN,60
cinema,4118,cinema,cinema,NN,59
incest,15766,incest,incest,NN,59
veteran,804,veteran,veteran,NN,59
cell,4318,cell,cell,NN,59
anthology,2348,anthology,antholog,NN,59
professor,4375,professor,professor,NN,59
nurse,5934,nurse,nurs,NN,59
truck,729,truck,truck,NN,59
motel,3306,motel,motel,NN,58
historical,1081,historical,histor,JJ,58
court,4273,court,court,NN,58
iraq,6855,iraq,iraq,NN,58
disappearance,1467,disappearance,disappear,NN,58
apartment,591,apartment,apart,NN,58
mutant,366,mutant,mutant,NN,58
journey,3299,journey,journey,NN,58
lose,3621,lost,lost,VB,58
legend,123,legends,legend,NN,58
sheriff,335,sheriff,sheriff,NN,58
claus,869,claus,clau,NN,57
worker,2367,worker,worker,NN,57
steal,3010,stolen,stolen,VB,57
nightclub,44,nightclub,nightclub,NN,57
homophobia,3396,homophobia,homophobia,NN,57
transformation,418,transformation,transform,NN,56
king,2456,king,king,NN,56
difference,853,differences,differ,NN,56
dancer,5462,dancer,dancer,NN,56
disease,1466,disease,diseas,NN,56
florida,1965,florida,florida,NN,56
boat,75,boat,boat,NN,56
east,3455,east,east,NN,56
mask,691,mask,mask,NN,56
photographer,2555,photographer,photograph,NN,56
mind,4133,mind,mind,NN,56
motorcycle,1540,motorcycle,motorcycl,NN,56
blackmail,17637,blackmail,blackmail,NN,56
cabin,765,cabin,cabin,NN,55
lake,1859,lake,lake,NN,55
countryside,671,countryside,countrysid,NN,55
talk,252,talking,talk,VB,55
guard,8160,guard,guard,NN,55
north,1140,north,north,NN,55
bus,12088,bus,bu,NN,55
nature,1954,nature,natur,NN,55
medium,580,media,media,NN,55
ireland,15172,ireland,ireland,NN,55
trial,1018,trial,trial,NN,54
cross,4995,crossed,cross,VB,54
surveillance,1865,surveillance,surveil,NN,54
gamble,3873,gambling,gambl,VB,54
immigrant,1830,immigrant,immigr,NN,54
reporter,8002,reporter,report,NN,54
strip,3721,strip,strip,NN,54
wall,203,wall,wall,NN,54
artificial,5103,artificial,artifici,JJ,54
pool,463,pool,pool,NN,53
autobiography,1199,autobiography,autobiographi,NN,53
roommate,1244,roommate,roommat,NN,53
villain,1742,villain,villain,NN,53
mockumentary,409,mockumentary,mockumentari,NN,53
control,4134,control,control,NN,53
bad,3461,bad,bad,JJ,53
store,6442,store,store,NN,53
reunion,1511,reunion,reunion,NN,53
snake,7792,snake,snake,NN,52
industry,3565,industry,industri,NN,52
water,283,water,water,NN,52
security,9320,security,secur,NN,52
multiple,4733,multiple,multipl,NN,52
figure,5257,figure,figur,NN,52
cyberpunk,1941,cyberpunk,cyberpunk,NN,51
catholic,1582,catholic,cathol,NN,51
work,1799,working,work,VB,51
mass,12983,mass,mass,NN,51
spacecraft,1885,spacecraft,spacecraft,NN,51
change,921,change,chang,NN,51
princess,2054,princess,princess,NN,51
san,12,san,san,NN,51
mysterious,858,mysterious,mysteri,JJ,50
tragedy,1074,tragedy,tragedi,NN,50
head,2279,head,head,NN,50
people,8394,peoples,peopl,NN,50
mythology,5403,mythology,mytholog,NN,50
coworker,1249,coworker,cowork,NN,50
hallucination,2557,hallucination,hallucin,NN,50
machine,1730,machine,machin,NN,50
alcoholism,922,alcoholism,alcohol,NN,50
con,2127,con,con,NN,50
african,749,african,african,JJ,49
homeless,3934,homeless,homeless,NN,49
scotland,7491,scotland,scotland,NN,49
opera,4682,opera,opera,NN,49
ritual,680,ritual,ritual,JJ,49
grief,1113,grief,grief,NN,49
cannibal,3903,cannibal,cannib,NN,49
corpse,12310,corpse,corps,NN,49
shop,1442,shop,shop,NN,49
victim,1622,victim,victim,NN,49
winter,523,winter,winter,NN,49
illinois,475,illinois,illinoi,NN,48
debt,5217,debt,debt,NN,48
revolution,10212,revolution,revolut,NN,48
politician,3324,politician,politician,NN,48
baseball,12207,baseball,basebal,NN,48
paranormal,8767,paranormal,paranorm,NN,48
masked,1449,masked,mask,NN,48
underground,3516,underground,underground,NN,48
massachusetts,381,massachusetts,massachusett,NN,48
television,2612,television,televis,NN,48
smoking,7219,smoking,smoke,NN,48
addict,9312,addict,addict,NN,48
vision,11863,visions,vision,NN,48
bully,8342,bully,bulli,RB,48
paranoia,2231,paranoia,paranoia,NN,48
seduction,8461,seduction,seduct,NN,47
native,1563,native,nativ,JJ,47
interracial,603,interracial,interraci,JJ,47
closet,940,closet,closet,NN,47
language,1131,languages,languag,NN,47
kiss,5969,kiss,kiss,NN,47
united,4089,united,unit,JJ,47
australian,2020,australian,australian,JJ,47
punk,3904,punk,punk,NN,47
period,204,period,period,NN,47
adoption,4256,adoption,adopt,NN,47
marine,1017,marines,marin,NN,47
cold,3499,cold,cold,NN,47
married,3926,married,marri,JJ,47
weapon,98,weapons,weapon,NN,47
birthday,4484,birthday,birthday,NN,47
air,1172,air,air,NN,46
memoir,1198,memoir,memoir,NN,46
painting,6865,painting,paint,NN,46
europe,2987,europe,europ,NN,46
dinosaur,7731,dinosaur,dinosaur,NN,46
urban,2956,urban,urban,JJ,46
survivor,1527,survivor,survivor,NN,46
technology,575,technology,technolog,NN,46
alternate,103,alternate,altern,NN,46
save,5579,save,save,VB,46
