lem,index,token,stem,pos,counts
pastor,10227,pastor,pastor,NN,17
missile,5957,missile,missil,NN,17
homosexual,3377,homosexual,homosexu,JJ,17
uniform,45064,uniform,uniform,NN,17
stunt,3418,stunt,stunt,NN,17
carolina,7682,carolina,carolina,NN,17
retire,5818,retired,retir,VB,17
rag,4583,rags,rag,NN,17
bisexuality,34936,bisexuality,bisexu,NN,17
folk,567,folk,folk,NN,17
harassment,3651,harassment,harass,NN,17
tower,4533,tower,tower,NN,17
meteor,10770,meteor,meteor,NN,17
pub,7704,pub,pub,NN,17
mutilation,1083,mutilation,mutil,NN,17
mute,13079,mute,mute,NN,17
uprise,7847,uprising,upris,VB,17
murderer,16376,murderer,murder,NN,17
agriculture,3771,agriculture,agricultur,NN,16
clash,7390,clash,clash,NN,16
stupidity,26876,stupidity,stupid,NN,16
mumbai,79,mumbai,mumbai,NN,16
robin,7269,robin,robin,NN,16
minion,18735,minions,minion,NN,16
moscow,24954,moscow,moscow,NN,16
billionaire,14352,billionaire,billionair,NN,16
violin,4344,violin,violin,NN,16
elephant,5050,elephant,eleph,NN,16
partner,47471,partner,partner,NN,16
living,1630,living,live,NN,16
hitler,4766,hitler,hitler,NN,16
trust,13863,trust,trust,NN,16
owner,6154,owner,owner,NN,16
britain,11144,britain,britain,NN,16
sheep,7553,sheep,sheep,NN,16
firework,10621,fireworks,firework,NN,16
fourth,202,fourth,fourth,JJ,16
parasite,12762,parasite,parasit,NN,16
ambition,19126,ambition,ambit,NN,16
prize,7400,prize,prize,NN,16
cigarette,31285,cigarette,cigarett,NN,16
barcelona,15844,barcelona,barcelona,NN,16
exchange,3195,exchange,exchang,NN,16
morgue,9489,morgue,morgu,NN,16
barrier,31884,barrier,barrier,NN,16
stroke,20914,stroke,stroke,NN,16
sever,2485,severed,sever,VB,16
outlaw,3133,outlaw,outlaw,NN,16
ohio,1189,ohio,ohio,NN,16
ride,35450,ride,ride,NN,16
stalk,8190,stalking,stalk,VB,16
bury,1613,buried,buri,VB,16
stockholm,1598,stockholm,stockholm,NN,16
rapper,3268,rapper,rapper,NN,16
speech,5592,speech,speech,NN,16
orgasm,23490,orgasm,orgasm,NN,16
busan,442,busan,busan,NN,16
adventure,510,adventure,adventur,NN,16
novelist,7892,novelist,novelist,NN,16
organ,23700,organ,organ,NN,16
falsely,1862,falsely,fals,RB,16
deadly,6139,deadly,deadli,RB,16
festival,5095,festival,festiv,NN,16
season,948,season,season,NN,16
fanaticism,6180,fanaticism,fanatic,NN,16
senator,14740,senator,senat,NN,16
sadist,1684,sadist,sadist,NN,16
surfer,23246,surfer,surfer,NN,16
loan,33298,loan,loan,NN,16
yacht,46,yacht,yacht,NN,16
amazon,5448,amazon,amazon,NN,16
bombay,80,bombay,bombay,NN,16
wealthy,4509,wealthy,wealthi,NN,16
weather,6304,weather,weather,NN,16
extremism,74316,extremism,extrem,NN,16
individual,16113,individual,individu,JJ,16
maniac,24580,maniac,maniac,NN,16
success,43610,success,success,NN,16
persecution,760,persecution,persecut,NN,16
slapstick,655,slapstick,slapstick,NN,16
surgeon,9274,surgeon,surgeon,NN,16
rat,10964,rat,rat,NN,16
segregation,1971,segregation,segreg,NN,15
lock,13641,locked,lock,VB,15
pimp,30446,pimp,pimp,NN,15
miami,1964,miami,miami,NN,15
promiscuity,28860,promiscuity,promiscu,NN,15
videotape,52392,videotape,videotap,NN,15
cinepanettone,2579,cinepanettone,cinepanetton,NN,15
physical,1050,physical,physic,JJ,15
patriotism,397,patriotism,patriot,NN,15
article,5471,article,articl,NN,15
rebellious,22686,rebellious,rebelli,JJ,15
despair,8216,despair,despair,NN,15
cook,28906,cook,cook,NN,15
rebellion,25324,rebellion,rebellion,NN,15
studio,1319,studio,studio,NN,15
garbage,8520,garbage,garbag,NN,15
teamwork,2324,teamwork,teamwork,NN,15
femme,15701,femme,femm,NN,15
capture,10421,capture,captur,NN,15
back,8571,back,back,RB,15
sperm,33416,sperm,sperm,NN,15
intrigue,3611,intrigue,intrigu,NN,15
loser,11282,loser,loser,NN,15
abortion,2263,abortion,abort,NN,15
axe,2280,axe,axe,NN,15
mormon,49761,mormon,mormon,NN,15
critic,3145,critic,critic,NN,15
bipolar,16187,bipolar,bipolar,NN,15
manhunt,1873,manhunt,manhunt,NN,15
loner,5840,loner,loner,NN,15
spree,2413,spree,spree,NN,15
armored,11725,armored,armor,JJ,15
marital,4025,marital,marit,NN,15
colonialism,6587,colonialism,coloni,NN,15
separation,13878,separation,separ,NN,15
tornado,22280,tornado,tornado,NN,15
bartender,6715,bartender,bartend,NN,15
construction,8284,construction,construct,NN,15
chicken,8963,chicken,chicken,NN,15
anarchic,17650,anarchic,anarch,JJ,15
explosive,12824,explosive,explos,JJ,15
communist,13729,communist,communist,NN,15
unit,11962,unit,unit,NN,15
ouija,3000,ouija,ouija,NN,15
seal,9121,seal,seal,NN,15
sleep,14667,sleep,sleep,NN,15
labor,4920,labor,labor,NN,15
chile,5686,chile,chile,NN,15
quebec,1374,quebec,quebec,NN,15
doppelganger,4803,doppelganger,doppelgang,NN,15
fail,2792,failed,fail,VB,15
myth,122,myths,myth,NN,15
stock,17816,stock,stock,NN,15
wrongful,5030,wrongful,wrong,NN,15
sketch,17262,sketch,sketch,NN,15
heartbreak,7348,heartbreak,heartbreak,NN,15
deaf,1123,deaf,deaf,NN,15
predator,1620,predator,predat,NN,15
adventurer,2329,adventurer,adventur,NN,15
fatale,15702,fatale,fatal,NN,15
katana,45109,katana,katana,NN,15
execution,18788,execution,execut,NN,15
supermarket,25645,supermarket,supermarket,NN,15
hole,2574,hole,hole,NN,15
plastic,8539,plastic,plastic,NN,15
emergency,310,emergency,emerg,NN,15
production,5902,production,product,NN,15
coup,3330,coup,coup,NN,15
sociopath,21714,sociopath,sociopath,NN,15
district,2875,district,district,NN,15
fisherman,5991,fisherman,fisherman,NN,14
selfdiscovery,7421,selfdiscovery,selfdiscoveri,NN,14
economy,17813,economy,economi,NN,14
sadomasochism,44005,sadomasochism,sadomasoch,NN,14
grandfather,1145,grandfather,grandfath,NN,14
liar,33061,liar,liar,NN,14
rabbit,11147,rabbit,rabbit,NN,14
frame,3835,framed,frame,VB,14
misogyny,2755,misogyny,misogyni,NN,14
flight,6987,flight,flight,NN,14
move,2918,moving,move,VB,14
stuntman,3073,stuntman,stuntman,NN,14
puppy,6039,puppy,puppi,JJ,14
loyalty,13775,loyalty,loyalti,NN,14
colorado,3657,colorado,colorado,NN,14
janeiro,1485,janeiro,janeiro,NN,14
shyness,48491,shyness,shyness,NN,14
campus,23967,campus,campu,NN,14
skeleton,6539,skeleton,skeleton,NN,14
song,6669,song,song,NN,14
amateur,15126,amateur,amateur,NN,14
diet,7850,diet,diet,NN,14
commercial,3555,commercial,commerci,JJ,14
missionary,26562,missionary,missionari,JJ,14
octopus,1951,octopus,octopu,NN,14
alternative,2501,alternative,altern,NN,14
cyber,1944,cyber,cyber,NN,14
dilemma,6279,dilemma,dilemma,NN,14
dictator,3083,dictator,dictat,NN,14
object,8910,object,object,NN,14
seinen,2333,seinen,seinen,NN,14
kennedy,15228,kennedy,kennedi,NN,14
key,11701,key,key,NN,14
aboriginal,4066,aboriginal,aborigin,JJ,14
autopsy,9491,autopsy,autopsi,NN,14
golden,15121,golden,golden,JJ,14
telepathy,2741,telepathy,telepathi,NN,14
outage,12047,outage,outag,NN,14
effect,7812,effects,effect,NN,14
peace,10466,peace,peac,NN,14
engineer,11122,engineer,engin,NN,14
resurrection,6664,resurrection,resurrect,NN,14
escort,15911,escort,escort,NN,14
decapitation,11036,decapitation,decapit,NN,14
corrupt,12107,corrupt,corrupt,NN,14
message,3696,message,messag,NN,14
shoe,6683,shoe,shoe,NN,14
arabian,4595,arabian,arabian,JJ,14
mecha,8799,mecha,mecha,NN,14
pianist,5164,pianist,pianist,NN,14
dare,11310,dare,dare,NN,14
rio,1484,rio,rio,NN,14
heroine,120,heroine,heroin,NN,14
hair,13177,hair,hair,NN,14
costume,126,costumes,costum,NN,14
skyscraper,11173,skyscraper,skyscrap,NN,14
biker,14182,biker,biker,NN,14
program,3746,program,program,NN,14
bangkok,3477,bangkok,bangkok,NN,14
plague,30921,plague,plagu,NN,14
transsexuality,6584,transsexuality,transsexu,NN,14
bath,22514,bath,bath,NN,14
himalaya,6732,himalaya,himalaya,NN,14
return,30633,return,return,NN,14
suicidal,1695,suicidal,suicid,NN,14
destiny,33410,destiny,destini,NN,14
georgia,327,georgia,georgia,NN,14
held,25790,held,held,NN,14
voodoo,2430,voodoo,voodoo,NN,14
mythical,4986,mythical,mythic,JJ,14
energy,18698,energy,energi,NN,14
charles,4545,charles,charl,NN,13
legal,16558,legal,legal,JJ,13
champion,2121,champion,champion,NN,13
choir,2632,choir,choir,NN,13
prague,4514,prague,pragu,NN,13
homelessness,2372,homelessness,homeless,NN,13
mastermind,456,mastermind,mastermind,NN,13
ladykiller,80049,ladykiller,ladykil,NN,13
honeymoon,14700,honeymoon,honeymoon,NN,13
lethal,10941,lethal,lethal,NN,13
shepherd,27811,shepherd,shepherd,NN,13
softcore,50,softcore,softcor,NN,13
workplace,1911,workplace,workplac,NN,13
exam,12216,exams,exam,NN,13
evolution,3687,evolution,evolut,NN,13
half,12289,half,half,NN,13
seattle,11394,seattle,seattl,NN,13
getaway,1401,getaway,getaway,NN,13
fortune,58505,fortune,fortun,NN,13
morocco,4661,morocco,morocco,NN,13
exhusband,1602,exhusband,exhusband,NN,13
jumping,24338,jumping,jump,NN,13
leave,3802,leaving,leav,VB,13
happiness,22123,happiness,happi,NN,13
composer,4303,composer,compos,NN,13
amsterdam,16919,amsterdam,amsterdam,NN,13
wrong,17488,wrong,wrong,JJ,13
montana,5682,montana,montana,NN,13
unfaithful,28916,unfaithful,unfaith,JJ,13
poor,55,poor,poor,JJ,13
swat,93,swat,swat,NN,13
extortion,19321,extortion,extort,NN,13
possess,5430,possessed,possess,VB,13
golf,13891,golf,golf,NN,13
communism,3168,communism,commun,NN,13
heroism,515,heroism,heroism,NN,13
roast,38269,roast,roast,NN,13
sun,5091,sun,sun,NN,13
shanghai,9678,shanghai,shanghai,NN,13
policeman,16456,policeman,policeman,NN,13
polar,2222,polar,polar,NN,13
suburbia,6345,suburbia,suburbia,NN,13
press,15118,press,press,NN,13
sexism,12950,sexism,sexism,NN,13
skin,2907,skinning,skin,VB,13
republican,4086,republican,republican,JJ,13
library,9805,library,librari,NN,13
selfdestruction,9273,selfdestruction,selfdestruct,NN,13
transplant,30169,transplant,transplant,NN,13
burning,11186,burning,burn,NN,13
desperation,12253,desperation,desper,NN,13
speed,14936,speed,speed,NN,13
brainwashing,7965,brainwashing,brainwash,NN,13
czech,4515,czech,czech,NN,13
iceland,14868,iceland,iceland,NN,13
photo,11735,photo,photo,NN,13
feminist,2148,feminist,feminist,NN,13
reading,14897,reading,read,NN,13
realism,11634,realism,realism,NN,13
aldo,918,aldo,aldo,NN,13
sewer,20101,sewer,sewer,NN,13
bigfoot,2693,bigfoot,bigfoot,NN,13
balloon,6552,balloon,balloon,NN,13
former,3497,former,former,JJ,13
release,4319,release,releas,NN,13
dictatorship,3093,dictatorship,dictatorship,NN,13
independence,802,independence,independ,NN,13
utah,2311,utah,utah,NN,13
epidemic,39571,epidemic,epidem,JJ,13
track,2839,tracking,track,VB,13
asia,8276,asia,asia,NN,13
millionaire,22023,millionaires,millionair,NN,13
suit,1982,suit,suit,NN,13
beast,7271,beast,beast,NN,13
catastrophe,13897,catastrophe,catastroph,NN,13
disco,2527,disco,disco,NN,13
panic,307,panic,panic,NN,13
norse,8730,norse,nors,NN,13
nordic,14537,nordic,nordic,JJ,13
eccentric,21690,eccentric,eccentr,JJ,13
sabotage,9941,sabotage,sabotag,NN,13
giovanni,919,giovanni,giovanni,NN,13
nonlinear,25952,nonlinear,nonlinear,JJ,13
employer,1902,employer,employ,NN,13
giacomo,920,giacomo,giacomo,NN,13
penguin,16144,penguin,penguin,NN,13
jerusalem,14012,jerusalem,jerusalem,NN,13
dementia,524,dementia,dementia,NN,13
strike,23796,strike,strike,NN,13
burn,26298,burn,burn,NN,13
democratic,14634,democratic,democrat,JJ,13
psycho,13458,psycho,psycho,NN,13
bodyswap,1031,bodyswap,bodyswap,NN,13
copenhagen,7881,copenhagen,copenhagen,NN,12
shortage,3775,shortage,shortag,NN,12
neo,8326,neo,neo,NN,12
apartheid,747,apartheid,apartheid,NN,12
luck,41941,luck,luck,NN,12
antisemitism,59441,antisemitism,antisemit,NN,12
development,2957,development,develop,NN,12
seaside,1528,seaside,seasid,NN,12
newlywed,855,newlywed,newlyw,VB,12
cup,9270,cup,cup,NN,12
dna,10762,dna,dna,NN,12
scream,43038,scream,scream,NN,12
motor,40570,motor,motor,NN,12
trash,38085,trash,trash,NN,12
breakdown,20671,breakdown,breakdown,NN,12
tribe,15721,tribe,tribe,NN,12
map,18409,map,map,NN,12
minnesota,6887,minnesota,minnesota,NN,12
mixed,3446,mixed,mix,JJ,12
athlete,3496,athlete,athlet,NN,12
marseille,15879,marseille,marseil,NN,12
antarctica,52250,antarctica,antarctica,NN,12
shelter,5676,shelter,shelter,NN,12
matter,3852,matter,matter,NN,12
connecticut,20532,connecticut,connecticut,NN,12
broadway,609,broadway,broadway,NN,12
learn,4391,learning,learn,VB,12
deep,1764,deep,deep,NN,12
mining,13475,mining,mine,NN,12
congress,751,congress,congress,NN,12
toronto,44053,toronto,toronto,NN,12
angst,2831,angst,angst,NN,12
shock,52320,shock,shock,NN,12
medication,1049,medication,medic,NN,12
sicily,6325,sicily,sicili,RB,12
meeting,15575,meeting,meet,NN,12
scarecrow,5600,scarecrow,scarecrow,NN,12
monarchy,5542,monarchy,monarchi,NN,12
eastern,17769,eastern,eastern,JJ,12
ambulance,10206,ambulance,ambul,NN,12
electric,51096,electric,electr,JJ,12
cuban,7674,cuban,cuban,NN,12
ego,28694,ego,ego,NN,12
expert,12649,expert,expert,NN,12
bat,12208,bat,bat,NN,12
parenthood,8323,parenthood,parenthood,NN,12
extreme,3717,extreme,extrem,NN,12
portal,14165,portal,portal,NN,12
paparazzo,49622,paparazzi,paparazzi,NN,12
poem,6670,poem,poem,NN,12
battlefield,10485,battlefield,battlefield,NN,12
pandemic,1960,pandemic,pandem,NN,12
chair,58286,chair,chair,NN,12
jew,4764,jew,jew,NN,12
colony,4840,colony,coloni,NN,12
pakistan,9233,pakistan,pakistan,NN,12
principal,20343,principal,princip,NN,12
jewel,16462,jewel,jewel,NN,12
hit,3940,hit,hit,NN,12
taliban,11620,taliban,taliban,NN,12
central,19981,central,central,JJ,12
xmen,373,xmen,xmen,NN,12
rooftop,13986,rooftop,rooftop,NN,12
weekend,1400,weekend,weekend,NN,12
peru,5438,peru,peru,NN,12
indigenous,8393,indigenous,indigen,JJ,12
tech,1732,tech,tech,NN,12
engineering,8813,engineering,engin,NN,12
spectacle,66283,spectacle,spectacl,NN,12
block,2933,block,block,NN,12
ethic,4229,ethics,ethic,NN,12
starvation,10442,starvation,starvat,NN,12
banker,1091,banker,banker,NN,12
insane,14676,insane,insan,NN,12
hostility,80272,hostility,hostil,NN,12
host,2113,host,host,NN,12
underage,5832,underage,underag,NN,12
patrol,9304,patrol,patrol,NN,12
insomnia,16174,insomnia,insomnia,NN,12
barber,28356,barber,barber,NN,12
fatherinlaw,22737,fatherinlaw,fatherinlaw,NN,12
epic,6813,epic,epic,NN,12
repression,7837,repression,repress,NN,12
walk,512,walk,walk,NN,12
bondage,39479,bondage,bondag,NN,12
captain,22224,captain,captain,NN,12
drink,12264,drink,drink,NN,12
tsunami,12041,tsunami,tsunami,NN,12
carnival,4750,carnival,carniv,NN,12
graveyard,12796,graveyard,graveyard,NN,12
field,5769,field,field,NN,12
racist,7019,racist,racist,NN,12
suffer,29146,suffering,suffer,VB,12
lab,8404,lab,lab,NN,12
keeper,5289,keeper,keeper,NN,12
puzzle,5193,puzzle,puzzl,NN,12
camcorder,61285,camcorder,camcord,NN,12
suppress,35625,suppressed,suppress,VB,12
orgy,32194,orgy,orgi,NN,12
watch,25243,watching,watch,VB,12
flat,15335,flat,flat,JJ,12
reindeer,5358,reindeer,reindeer,NN,12
duel,62183,duel,duel,NN,12
study,16295,study,studi,NN,12
gymnastics,2009,gymnastics,gymnast,NN,12
guy,1636,guy,guy,NN,12
standoff,2274,standoff,standoff,NN,11
playboy,1493,playboy,playboy,NN,11
flower,20884,flower,flower,NN,11
go,24329,gone,gone,VB,11
custody,13875,custody,custodi,NN,11
aristocrat,55520,aristocrat,aristocrat,NN,11
evacuation,2639,evacuation,evacu,NN,11
rampage,3658,rampage,rampag,NN,11
hamburg,6956,hamburg,hamburg,NN,11
rapist,23411,rapist,rapist,NN,11
romanian,20918,romanian,romanian,NN,11
malibu,8155,malibu,malibu,NN,11
spirituality,22227,spirituality,spiritu,NN,11
surprise,34462,surprise,surpris,NN,11
veterinarian,2988,veterinarian,veterinarian,JJ,11
dominatrix,9576,dominatrix,dominatrix,NN,11
manchester,24047,manchester,manchest,NN,11
baltimore,18373,baltimore,baltimor,NN,11
estrangement,1212,estrangement,estrang,NN,11
redneck,9902,redneck,redneck,NN,11
arizona,5252,arizona,arizona,NN,11
hypnosis,18286,hypnosis,hypnosi,NN,11
cape,1814,cape,cape,NN,11
executive,22000,executive,execut,NN,11
blizzard,535,blizzard,blizzard,NN,11
democracy,4154,democracy,democraci,NN,11
grand,19980,grand,grand,JJ,11
exlover,9050,exlover,exlov,NN,11
dea,11216,dea,dea,NN,11
accusation,20689,accusation,accus,NN,11
tax,3012,tax,tax,NN,11
fiance,37559,fiance,fianc,NN,11
heal,21616,healing,heal,VB,11
unhappiness,35794,unhappiness,unhappi,NN,11
premonition,19979,premonition,premonit,NN,11
fascism,9826,fascism,fascism,NN,11
courage,125,courage,courag,NN,11
handicapped,8345,handicapped,handicap,NN,11
pride,7298,pride,pride,NN,11
fetish,29192,fetish,fetish,JJ,11
chain,5958,chain,chain,NN,11
ceremony,54940,ceremony,ceremoni,NN,11
adopt,8213,adopted,adopt,VB,11
hearing,1132,hearing,hear,NN,11
heaven,56611,heaven,heaven,NN,11
portugal,17610,portugal,portug,NN,11
bathtub,18380,bathtub,bathtub,NN,11
bee,8130,bee,bee,NN,11
cheerlead,1217,cheerleading,cheerlead,VB,11
popular,6591,popular,popular,JJ,11
crooked,6803,crooked,crook,NN,11
hiding,37061,hiding,hide,NN,11
riddle,53228,riddle,riddl,NN,11
hike,13101,hiking,hike,VB,11
castration,12852,castration,castrat,NN,11
vandalism,21995,vandalism,vandal,NN,11
cycling,3229,cycling,cycl,NN,11
dangerous,13324,dangerous,danger,JJ,11
holy,36286,holy,holi,NN,11
mathematics,14477,mathematics,mathemat,NN,11
alligator,5494,alligator,allig,NN,11
teller,58506,teller,teller,NN,11
maine,2969,maine,main,NN,11
janitor,529,janitor,janitor,NN,11
wuxia,25984,wuxia,wuxia,NN,11
electrocution,24196,electrocution,electrocut,NN,11
thai,14058,thai,thai,NN,11
scheme,5207,scheme,scheme,NN,11
aspergers,3046,aspergers,asperg,NN,11
conversation,9287,conversation,convers,NN,11
leg,19973,legs,leg,NN,11
longing,76165,longing,long,NN,11
controversial,14571,controversial,controversi,JJ,11
confusion,23528,confusion,confus,NN,11
awaken,1758,awakening,awaken,VB,11
drifter,21333,drifter,drifter,NN,11
wildlife,32815,wildlife,wildlif,NN,11
ecstasy,1393,ecstasy,ecstasi,NN,11
tenant,15233,tenant,tenant,NN,11
telekinesis,4946,telekinesis,telekinesi,NN,11
tumor,2385,tumor,tumor,NN,11
wing,40418,wings,wing,NN,11
discrimination,25289,discrimination,discrimin,NN,11
snowstorm,6037,snowstorm,snowstorm,NN,11
tennessee,7758,tennessee,tennesse,NN,11
satan,7719,satan,satan,NN,11
sin,13053,sins,sin,NN,11
trick,36255,trick,trick,NN,11
wretch,79742,wretch,wretch,NN,11
solar,4841,solar,solar,NN,11
jockey,9266,jockey,jockey,NN,11
conscience,15502,conscience,conscienc,NN,11
satanism,4131,satanism,satan,NN,11
situation,13512,situation,situat,NN,11
intern,33466,intern,intern,NN,11
laundering,8472,laundering,launder,NN,11
site,15424,site,site,NN,11
artifact,18407,artifact,artifact,NN,11
detat,3331,detat,detat,NN,11
docudrama,17620,docudrama,docudrama,NN,11
well,779,well,well,RB,11
shounen,1086,shounen,shounen,NN,11
infect,780,infected,infect,VB,11
opposite,18857,opposites,opposit,NN,11
laser,34492,laser,laser,NN,11
luxury,6181,luxury,luxuri,NN,11
traumatize,1454,traumatized,traumat,VB,11
oppression,9993,oppression,oppress,NN,11
clerk,3201,clerks,clerk,NN,11
pay,9013,pay,pay,NN,11
scientific,2746,scientific,scientif,JJ,11
confidence,10276,confidence,confid,NN,11
neighborhood,26986,neighborhood,neighborhood,NN,11
doomsday,10727,doomsday,doomsday,NN,11
landlord,15237,landlord,landlord,NN,11
origin,4453,origin,origin,NN,11
skinhead,4226,skinhead,skinhead,NN,11
compulsive,2195,compulsive,compuls,NN,11
teach,4392,teaching,teach,VB,11
ape,18481,ape,ape,NN,10
miner,42097,miners,miner,NN,10
style,4158,style,style,NN,10
switzerland,23769,switzerland,switzerland,NN,10
swordplay,89907,swordplay,swordplay,NN,10
senior,8423,seniors,senior,NN,10
snuff,43026,snuff,snuff,NN,10
grocery,25652,grocery,groceri,NN,10
mistake,52157,mistake,mistak,NN,10
grizzly,23642,grizzly,grizzli,NN,10
kidnap,8952,kidnapped,kidnap,VB,10
missouri,1127,missouri,missouri,NN,10
generation,27637,generation,gener,NN,10
gate,40635,gate,gate,NN,10
formula,3245,formula,formula,NN,10
whodunit,3472,whodunit,whodunit,NN,10
audio,977,audio,audio,NN,10
wale,1411,wales,wale,NN,10
aunt,41616,aunt,aunt,NN,10
draw,13816,drawing,draw,VB,10
dual,17702,dual,dual,JJ,10
sequence,13128,sequence,sequenc,NN,10
gag,15328,gag,gag,NN,10
full,2309,full,full,JJ,10
minor,55459,minor,minor,NN,10
lawsuit,6058,lawsuit,lawsuit,NN,10
divorcee,7201,divorcee,divorce,NN,10
atlantic,354,atlantic,atlant,JJ,10
final,4418,final,final,JJ,10
laptop,20299,laptop,laptop,NN,10
discovery,31056,discovery,discoveri,NN,10
gypsy,14924,gypsy,gypsi,NN,10
bow,17037,bow,bow,NN,10
investment,17820,investment,invest,NN,10
investigative,1344,investigative,investig,JJ,10
exile,12403,exile,exil,NN,10
arctic,502,arctic,arctic,JJ,10
lottery,13355,lottery,lotteri,NN,10
homoeroticism,8858,homoeroticism,homoerotic,NN,10
instructor,9544,instructor,instructor,NN,10
tomb,2837,tomb,tomb,NN,10
hooligan,26872,hooligan,hooligan,NN,10
louis,23215,louis,loui,NN,10
lowbudget,65626,lowbudget,lowbudget,NN,10
tehran,24947,tehran,tehran,NN,10
teheran,24946,teheran,teheran,NN,10
visual,2447,visual,visual,JJ,10
european,9363,european,european,JJ,10
stabbed,1037,stabbed,stab,NN,10
detention,8530,detention,detent,NN,10
hysteria,20625,hysteria,hysteria,NN,10
webcam,12678,webcam,webcam,NN,10
engine,77,engine,engin,NN,10
indonesia,13922,indonesia,indonesia,NN,10
era,675,era,era,NN,10
spell,22400,spell,spell,NN,10
maya,6192,maya,maya,NN,10
extend,5,extended,extend,VB,10
symbolism,47523,symbolism,symbol,NN,10
egg,37467,egg,egg,NN,10
hairdresser,56653,hairdresser,hairdress,NN,10
socially,19141,socially,social,RB,10
third,22225,third,third,JJ,10
arab,3325,arab,arab,NN,10
john,23940,john,john,NN,10
dwarf,40421,dwarf,dwarf,NN,10
jesse,58719,jesse,jess,NN,10
tourette,6422,tourette,tourett,NN,10
strange,19137,strange,strang,NN,10
line,11692,lines,line,NN,10
harvard,13265,harvard,harvard,NN,10
menage,42335,menage,menag,NN,10
silent,38216,silent,silent,NN,10
lizard,10951,lizard,lizard,NN,10
breast,9734,breast,breast,NN,10
eclipse,19223,eclipse,eclips,NN,10
thunderstorm,12271,thunderstorm,thunderstorm,NN,10
economic,5463,economic,econom,JJ,10
totalitarian,81490,totalitarian,totalitarian,JJ,10
away,33002,away,away,RB,10
islam,1969,islam,islam,NN,10
digger,6399,digger,digger,NN,10
deceive,90954,deceived,deceiv,VB,10
domineer,43612,domineering,domin,VB,10
freshman,3808,freshman,freshman,NN,10
mummy,18680,mummy,mummi,NN,10
open,12323,open,open,JJ,10
bullet,19936,bullet,bullet,NN,10
parole,4286,parole,parol,NN,10
reservation,1565,reservation,reserv,NN,10
vegetarian,11673,vegetarian,vegetarian,JJ,10
butterfly,39239,butterfly,butterfli,NN,10
psychoanalysis,7648,psychoanalysis,psychoanalysi,NN,10
trois,42336,trois,troi,NN,10
ventriloquist,12611,ventriloquists,ventriloquist,NN,10
trouble,36875,trouble,troubl,NN,10
cambodia,10433,cambodia,cambodia,NN,10
adolf,4778,adolf,adolf,NN,10
allegory,4080,allegory,allegori,NN,10
pretty,30231,pretty,pretti,RB,10
character,4832,character,charact,NN,10
ambush,8959,ambush,ambush,NN,10
album,2448,album,album,NN,10
mount,5788,mount,mount,NN,10
unfaithfulness,14834,unfaithfulness,unfaith,NN,10
richard,9457,richard,richard,NN,10
oslo,13411,oslo,oslo,NN,10
pollution,6057,pollution,pollut,NN,10
sail,1537,sailing,sail,VB,10
pyramid,24249,pyramid,pyramid,NN,10
cafe,19264,cafe,cafe,NN,10
scout,12153,scout,scout,NN,10
rugby,21044,rugby,rugbi,NN,10
classmate,11601,classmates,classmat,NN,10
vault,21940,vault,vault,NN,10
montreal,55605,montreal,montreal,NN,10
ruin,6206,ruins,ruin,NN,10
second,3924,second,second,JJ,10
anniversary,3484,anniversary,anniversari,NN,10
raft,6489,raft,raft,NN,10
morality,12838,morality,moral,NN,10
row,10041,row,row,NN,10
radiation,497,radiation,radiat,NN,10
clan,4858,clan,clan,NN,10
cannabis,32855,cannabis,cannabi,NN,10
butcher,78207,butcher,butcher,NN,10
peasant,73398,peasant,peasant,NN,10
buddhism,51107,buddhism,buddhism,NN,10
solidarity,43532,solidarity,solidar,NN,9
oxford,42275,oxford,oxford,NN,9
jewelry,35542,jewelry,jewelri,NN,9
comeback,14032,comeback,comeback,NN,9
joker,7,joker,joker,NN,9
spaceship,12181,spaceship,spaceship,NN,9
alter,35570,alter,alter,NN,9
insult,31137,insult,insult,NN,9
jedi,25323,jedi,jedi,NN,9
intellectual,8927,intellectual,intellectu,JJ,9
james,21735,james,jame,NN,9
panther,479,panther,panther,NN,9
editor,8941,editor,editor,NN,9
code,20213,code,code,NN,9
rumor,25123,rumor,rumor,NN,9
sorcerer,642,sorcerer,sorcer,NN,9
snowboard,32564,snowboard,snowboard,NN,9
intolerance,21088,intolerance,intoler,NN,9
part,265,part,part,NN,9
invisible,182,invisible,invis,JJ,9
ira,19665,ira,ira,NN,9
donor,48640,donor,donor,NN,9
drunkenness,5298,drunkenness,drunken,NN,9
scar,42616,scar,scar,NN,9
dig,6353,digging,dig,VB,9
trench,4570,trenches,trench,NN,9
controversy,36084,controversy,controversi,NN,9
conversion,8300,conversion,convers,NN,9
nephew,25950,nephew,nephew,NN,9
neowestern,18166,neowestern,neowestern,JJ,9
traveler,102,traveler,travel,NN,9
vienna,17464,vienna,vienna,NN,9
design,10110,design,design,NN,9
derby,51127,derby,derbi,NN,9
deportation,6881,deportation,deport,NN,9
anonymous,8003,anonymous,anonym,JJ,9
dentist,28950,dentist,dentist,NN,9
mannequin,37085,mannequin,mannequin,NN,9
demonstration,55526,demonstration,demonstr,NN,9
nixon,9458,nixon,nixon,NN,9
nobel,7399,nobel,nobel,NN,9
karate,7139,karate,karat,NN,9
disc,34126,disc,disc,NN,9
commune,2142,commune,commun,NN,9
saint,22326,saint,saint,NN,9
attract,18858,attract,attract,NN,9
attic,11039,attic,attic,JJ,9
