id,title,release_date,genres,video_key,overview,trailer_url,keywords,popularity,vote_count,vote_average
673,Harry Potter and the Prisoner of Azkaban,2004-05-31,"['Adventure', 'Fantasy']",R69laoH02xg,"Harry, Ron and Hermione return to Hogwarts for their third year. Harry comes face to face with danger yet again, this time in the form of escaped convict, Sirius Black—and turns to sympathetic Professor Lupin for help.",https://www.youtube.com/watch?v=R69laoH02xg,"['flying', 'traitor', 'magic', 'school friend', 'child hero', 'school of witchcraft', 'black magic', 'time travel', 'friendship', 'school', 'best friend', 'werewolf', 'muggle', 'aftercreditsstinger', 'school class', 'based on young adult novel', 'magic spell']",122.784,15677,8
9806,The Incredibles,2004-11-05,"['Action', 'Adventure', 'Animation', 'Family']",-UaGUdNJdRQ,"Bob Parr has given up his superhero days to log in time as an insurance adjuster and raise his three children with his formerly heroic wife in suburbia. But when he receives a mysterious assignment, it's time to get back into costume.",https://www.youtube.com/watch?v=-UaGUdNJdRQ,"['secret identity', 'secret', 'hero', 'island', 'wretch', 'weapon', 'lawsuit', 'superhero', 'family relationships', 'super power', '1950s', '1960s', 'superhero family']",68.426,13591,7.7
38,Eternal Sunshine of the Spotless Mind,2004-03-19,"['Science Fiction', 'Drama', 'Romance']",rb9a00bXf-U,"Joel Barish, heartbroken that his girlfriend underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realises that he still loves her, and may be too late to correct his mistake.",https://www.youtube.com/watch?v=rb9a00bXf-U,"['deja vu', 'regret', 'jealousy', 'amnesia', 'dream', 'operation', 'relationship problems', 'love', 'memory', 'brainwashing', 'relationship', 'heartbreak', 'nonlinear timeline']",29.856,10669,8.1
558,Spider-Man 2,2004-06-25,"['Action', 'Adventure', 'Fantasy']",3jBFwltrxJw,"Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood.",https://www.youtube.com/watch?v=3jBFwltrxJw,"['dual identity', ""love of one's life"", 'pizza boy', 'sequel', 'superhero', 'based on comic', 'doctor', 'scientist', 'tentacle', 'death', 'science', 'super villain', 'teenage hero', 'supervillain', 'teenage life', 'spider-man', ""sony's spider-man""]",23.495,10549,7.1
393,Kill Bill: Vol. 2,2004-04-16,"['Action', 'Crime', 'Thriller']",WTt8cCIvGYI,"The Bride unwaveringly continues on her roaring rampage of revenge against the band of assassins who had tried to kill her and her unborn child. She visits each of her former associates one-by-one, checking off the victims on her Death List Five until there's nothing left to do … but kill Bill.",https://www.youtube.com/watch?v=WTt8cCIvGYI,"['sibling relationship', 'swordplay', 'katana', 'mother role', 'rage and hate', 'daughter', 'right and justice', 'single', 'aftercreditsstinger', 'duringcreditsstinger']",21.265,10305,7.9
2048,"I, Robot",2004-07-15,"['Action', 'Science Fiction']",J1NZJXo-Lso,"In 2035, where robots are commonplace and abide by the three laws of robotics, a technophobic cop investigates an apparent suicide. Suspecting that a robot may be responsible for the death, his investigation leads him to believe that humanity may be in danger.",https://www.youtube.com/watch?v=J1NZJXo-Lso,"['suicide', 'artificial intelligence', 'man vs machine', 'chicago, illinois', 'based on novel or book', 'hero', 'future', 'law', 'dystopia', 'police', 'murder', 'robot', 'humanoid robot']",30.898,8927,6.9
809,Shrek 2,2004-05-19,"['Animation', 'Family', 'Comedy', 'Fantasy', 'Adventure']",dB7a9utApIQ,"Shrek, Fiona and Donkey set off to Far, Far Away to meet Fiona's mother and father. But not everyone is happy. Shrek and the King find it hard to get along, and there's tension in the marriage. The fairy godmother discovers that Shrek has married Fiona instead of her Son Prince Charming and sets about destroying their marriage.",https://www.youtube.com/watch?v=dB7a9utApIQ,"['prison', 'magic', 'liberation', 'honeymoon', 'prince', 'fairy tale', 'parents-in-law', 'donkey', 'kingdom', 'enchantment', 'transformation', 'princess', 'sequel', 'anthropomorphism', 'dragon', 'ogre']",113.255,8540,7.1
11036,The Notebook,2004-06-25,"['Romance', 'Drama']",FC6biTjEyZw,"An epic love story centered around an older man who reads aloud to a woman with Alzheimer's. From a faded notebook, the old man's words bring to life the story about a couple who is separated by World War II, and is then passionately reunited, seven years later, after they have taken different paths.",https://www.youtube.com/watch?v=FC6biTjEyZw,"['poem', 'river', 'sadness', 'fight', ""love of one's life"", 'dementia', 'class', 'secret love', 'tears', 'candle', 'mailbox']",36.242,8468,7.9
652,Troy,2004-05-03,"['Adventure', 'History', 'War']",enJYNuWBJ9g,"In year 1250 B.C. during the late Bronze age, two emerging nations begin to clash. Paris, the Trojan prince, convinces Helen, Queen of Sparta, to leave her husband Menelaus, and sail with him back to Troy. After Menelaus finds out that his wife was taken by the Trojans, he asks his brother Agamemnom to help him get her back. Agamemnon sees this as an opportunity for power. So they set off with 1,000 ships holding 50,000 Greeks to Troy. With the help of Achilles, the Greeks are able to fight the never before defeated Trojans.",https://www.youtube.com/watch?v=enJYNuWBJ9g,"['sibling relationship', 'adultery', 'mythology', 'beauty', 'trojan war', 'bravery', 'wall', 'fraud', 'hostility', 'epic', 'sword fight', 'battlefield', 'ancient world', 'pyre', 'ancient greece', 'trojan horse', 'trojan', 'bronze age', 'sparta greece', 'helen of troy', ""homer's iliad"", 'troy']",33.073,7452,7.1
70,Million Dollar Baby,2004-12-15,['Drama'],5_RsHRmIRBY,"Despondent over a painful estrangement from his daughter, trainer Frankie Dunn isn't prepared for boxer Maggie Fitzgerald to enter his life. But Maggie's determined to go pro and to convince Dunn and his cohort to help her.",https://www.youtube.com/watch?v=5_RsHRmIRBY,"['transporter', 'suicide attempt', 'fight', 'strong woman', 'boxer', 'dying and death', 'stroke of fate', 'training', 'advancement', 'tragedy', 'female protagonist', 'brutality', 'boxing trainer', 'unlikely friendship', 'female boxing', 'knockout', 'euthanasia', 'determination']",22.62,6736,8
10625,Mean Girls,2004-04-30,['Comedy'],KAOmTMCtGkI,"Cady Heron is a hit with The Plastics, the A-list girl clique at her new school, until she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George.",https://www.youtube.com/watch?v=KAOmTMCtGkI,"['female friendship', 'high school', 'fish out of water', 'best friend', 'teenager', 'popularity', 'gossip', 'teen comedy', 'high school rivalry', 'new girl at school', 'adapted into play or musical']",27.986,6422,7.1
176,Saw,2004-10-01,"['Horror', 'Mystery', 'Crime']",HKPy5RWuqNA,"Obsessed with teaching his victims the value of life, a deranged, sadistic serial killer abducts the morally wayward. Once captured, they must face impossible choices in a horrific game of survival. The victims must fight to win their lives back, or die trying...",https://www.youtube.com/watch?v=HKPy5RWuqNA,"['detective', 'shotgun', 'flashback', 'hospital', 'doctor', 'sadist', 'cult film', 'chained', 'bludgeoning', 'game of death', 'booby trap', 'mind game', 'extreme violence']",45.389,6346,7.4
4935,Howl's Moving Castle,2004-11-19,"['Fantasy', 'Animation', 'Adventure']",iwROgK94zcM,"When Sophie, a shy young woman, is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.",https://www.youtube.com/watch?v=iwROgK94zcM,"['flying', 'witch', 'rain', 'castle', 'scarecrow', 'body exchange', 'hatter', 'bakery', 'curse', 'demon', 'anime', 'based on young adult novel']",47.009,6100,8.4
