id,title,release_date,genres,video_key,overview,trailer_url,keywords,popularity,vote_count,vote_average
299534,Avengers: Endgame,2019-04-24,"['Adventure', 'Science Fiction', 'Action']",TcMBFSGVi1c,"After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.",https://www.youtube.com/watch?v=TcMBFSGVi1c,"['space travel', 'time travel', 'time machine', 'sequel', 'based on comic', 'alien invasion', 'superhero team', 'iron man', 'marvel cinematic universe', 'alternate timeline', 'final battle', 'father daughter relationship', 'sister sister relationship', 'avengers', 'avengers endgame']",397.142,16766,8.3
475557,Joker,2019-10-02,"['Crime', 'Thriller', 'Drama']",t433PEQGErc,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.",https://www.youtube.com/watch?v=t433PEQGErc,"['street gang', 'dc comics', 'dream', 'clown', 'villain', 'society', 'joker', 'based on comic', 'murder', 'criminal mastermind', 'mental illness', 'anarchy', 'clown makeup', 'subway train', 'tv host', '1980s', 'mother son relationship', 'origin story', 'brutal violence', 'gotham city']",585.691,16551,8.2
299537,Captain Marvel,2019-03-06,"['Action', 'Adventure', 'Science Fiction']",0LHxvxdRnYc,"The story follows Carol Danvers as she becomes one of the universe’s most powerful heroes when Earth is caught in the middle of a galactic war between two alien races. Set in the 1990s, Captain Marvel is an all-new adventure from a previously unseen period in the history of the Marvel Cinematic Universe.",https://www.youtube.com/watch?v=0LHxvxdRnYc,"['superhero', 'based on comic', 'alien invasion', 'super power', 'female hero', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe', 'woman director', ""hero's journey"", '1990s', 'alien technology']",316.2,10757,7
496243,Parasite,2019-05-30,"['Comedy', 'Thriller', 'Drama']",isOGD_7hNIY,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",https://www.youtube.com/watch?v=isOGD_7hNIY,"['underground', 'rain', 'seoul, south korea', 'birthday party', 'private lessons', 'basement', 'con artist', 'working class', 'psychological thriller', 'limousine driver', 'class differences', 'rich poor', 'housekeeper', 'tutor', 'family', 'crime family', 'flood', 'smell', 'unemployed', 'wealthy family']",161.31,10540,8.5
429617,Spider-Man: Far from Home,2019-06-28,"['Action', 'Adventure', 'Science Fiction']",LFoz8ZJWmPs,"Peter Parker and his friends go on a summer trip to Europe. However, they will hardly be able to rest - Peter will have to agree to help Nick Fury uncover the mystery of creatures that cause natural disasters and destruction throughout the continent.",https://www.youtube.com/watch?v=LFoz8ZJWmPs,"['venice, italy', 'europe', 'prague, czech republic', 'illusion', 'enemy', 'school trip', 'sequel', 'superhero', 'based on comic', 'drone', 'destruction', 'city', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe', 'tower of london', 'broek op langedijk, the netherlands']",357.607,9174,7.5
466272,Once Upon a Time… in Hollywood,2019-07-24,"['Comedy', 'Drama', 'Thriller']",ELeMaP8EPAA,"Los Angeles, 1969. TV star Rick Dalton, a struggling actor specializing in westerns, and stuntman Cliff Booth, his best friend, try to survive in a constantly changing movie industry. Dalton is the neighbor of the young and promising actress and model Sharon Tate, who has just married the prestigious Polish director Roman Polanski…",https://www.youtube.com/watch?v=ELeMaP8EPAA,"['movie business', 'tv star', 'celebrity', 'based on a true story', 'charles manson', 'fame', 'hollywood', 'los angeles, california', 'historical fiction', 'struggling actor', 'satanic cult', 'western filmmaking', 'actress', '1960s', 'stunt double']",56.2,8094,7.5
530915,1917,2019-12-25,"['War', 'Drama', 'Action', 'Thriller']",UcmZN0Mbl04,"At the height of the First World War, two young British soldiers must cross enemy territory and deliver a message that will stop a deadly attack on hundreds of soldiers.",https://www.youtube.com/watch?v=UcmZN0Mbl04,"['world war i', 'british army', 'race against time', 'soldier', 'trenches', '1910s', 'trench warfare', 'collection', ""no man's land""]",78.333,7548,7.9
420817,Aladdin,2019-05-22,"['Adventure', 'Fantasy', 'Romance', 'Family']",foyufD52aog,A kindhearted street urchin named Aladdin embarks on a magical adventure after finding a lamp that releases a wisecracking genie while a power-hungry Grand Vizier vies for the same lamp that has the power to make their deepest wishes come true.,https://www.youtube.com/watch?v=foyufD52aog,"['hero', 'hustler', 'palace', 'musical', 'sultan', 'flying carpet', 'rags to riches', 'romance', 'monkey', 'family', 'first love', 'based on myths, legends or folklore', 'genie', 'arabian nights', 'aladdin', 'live action remake']",93.492,7449,7.1
420818,The Lion King,2019-07-12,"['Adventure', 'Family', 'Animation']",7TavVZMewpY,"Simba idolizes his father, King Mufasa, and takes to heart his own royal destiny. But not everyone in the kingdom celebrates the new cub's arrival. Scar, Mufasa's brother—and former heir to the throne—has plans of his own. The battle for Pride Rock is ravaged with betrayal, tragedy and drama, ultimately resulting in Simba's exile. With help from a curious pair of newfound friends, Simba will have to figure out how to grow up and take back what is rightfully his.",https://www.youtube.com/watch?v=7TavVZMewpY,"['africa', 'lion', 'prince', 'musical', 'uncle', 'remake', 'grief', 'computer-generated imagery', 'redemption', 'king', 'family', 'sidekick', 'live action and animation', 'father son relationship', 'live action remake']",142.522,7378,7.2
330457,Frozen II,2019-11-20,"['Family', 'Animation', 'Adventure', 'Comedy', 'Fantasy', 'Music']",Zi4LMpSDccc,"Elsa, Anna, Kristoff and Olaf head far into the forest to learn the truth about an ancient mystery of their kingdom.",https://www.youtube.com/watch?v=Zi4LMpSDccc,"['winter', 'queen', 'magic', 'castle', 'kingdom', 'princess', 'dam', 'spirit', 'personification']",191.227,6962,7.3
546554,Knives Out,2019-11-27,"['Comedy', 'Crime', 'Mystery', 'Thriller', 'Drama']",qGqiHJTsRkQ,"When renowned crime novelist Harlan Thrombey is found dead at his estate just after his 85th birthday, the inquisitive and debonair Detective Benoit Blanc is mysteriously enlisted to investigate. From Harlan's dysfunctional family to his devoted staff, Blanc sifts through a web of red herrings and self-serving lies to uncover the truth behind Harlan's untimely death.",https://www.youtube.com/watch?v=qGqiHJTsRkQ,"['detective', 'massachusetts', 'immigrant', 'big family', 'mansion', 'whodunit', 'family home', 'murder mystery', 'privilege']",84.862,6648,7.9
301528,Toy Story 4,2019-06-19,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Drama']",wmiIUN-7qhE,"Woody has always been confident about his place in the world and that his priority is taking care of his kid, whether that's Andy or Bonnie. But when Bonnie adds a reluctant new toy called ""Forky"" to her room, a road trip adventure alongside old and new friends will show Woody how big the world can be for a toy.",https://www.youtube.com/watch?v=wmiIUN-7qhE,"['toy', 'friendship', 'cartoon', 'rescue mission', 'cowboy', 'toy comes to life', 'toy story']",123.872,6634,7.6
458156,John Wick: Chapter 3 - Parabellum,2019-05-15,"['Action', 'Thriller', 'Crime']",M7XM597XO94,"Super-assassin John Wick returns with a $14 million price tag on his head and an army of bounty-hunting killers on his trail. After killing a member of the shadowy international assassin’s guild, the High Table, John Wick is excommunicado, but the world’s most ruthless hit men and women await his every turn.",https://www.youtube.com/watch?v=M7XM597XO94,"['new york city', 'martial arts', 'casablanca', 'morocco', 'secret society', 'black humor', 'sahara', 'russian mafia', 'sequel', 'organized crime', 'one man army', 'professional assassin', 'baba yaga', 'dog man friendship']",305.549,6338,7.4
181812,Star Wars: The Rise of Skywalker,2019-12-18,"['Action', 'Adventure', 'Science Fiction']",8Qn_spdM5Zg,"The surviving Resistance faces the First Order once again as the journey of Rey, Finn and Poe Dameron continues. With the power and knowledge of generations behind them, the final battle begins.",https://www.youtube.com/watch?v=8Qn_spdM5Zg,['space opera'],351.333,6309,6.6
399579,Alita: Battle Angel,2019-01-31,"['Action', 'Science Fiction', 'Adventure']",w7pYhpJaJW8,"When Alita awakens with no memory of who she is in a future world she does not recognize, she is taken in by Ido, a compassionate doctor who realizes that somewhere in this abandoned cyborg shell is the heart and soul of a young woman with an extraordinary past.",https://www.youtube.com/watch?v=w7pYhpJaJW8,"['martial arts', 'bounty hunter', 'extreme sports', 'dystopia', 'superhero', 'cyberpunk', 'based on manga', 'female cyborg', 'live action remake', 'floating city', 'manga']",184.67,6194,7.1
287947,Shazam!,2019-03-29,"['Action', 'Comedy', 'Fantasy']",go6GEIrcvFY,A boy is given the ability to become an adult superhero in times of need with a single magic word.,https://www.youtube.com/watch?v=go6GEIrcvFY,"['philadelphia, pennsylvania', 'dc comics', 'secret identity', 'magic', 'superhero', 'based on comic', 'wizard', 'superhuman strength', 'aftercreditsstinger', 'duringcreditsstinger', 'christmas', 'dc extended universe', 'flossing']",237.62,6066,7.1
450465,Glass,2019-01-16,"['Thriller', 'Drama', 'Science Fiction']",95ghQs5AmNk,"In a series of escalating encounters, former security guard David Dunn uses his supernatural abilities to track Kevin Wendell Crumb, a disturbed man who has twenty-four personalities. Meanwhile, the shadowy presence of Elijah Price emerges as an orchestrator who holds secrets critical to both men.",https://www.youtube.com/watch?v=95ghQs5AmNk,"['villain', 'sequel', 'superhero', 'psychiatric hospital', 'comic book shop', 'violence', 'super power', 'mental illness', 'multiple personality', 'dissociative identity disorder', 'surveillance specialist']",157.189,5945,6.6
537915,After,2019-04-11,"['Romance', 'Drama']",2ZAdcWHuCmY,"Tessa Young is a dedicated student, dutiful daughter and loyal girlfriend to her high school sweetheart. Entering her first semester of college, Tessa's guarded world opens up when she meets Hardin Scott, a mysterious and brooding rebel who makes her question all she thought she knew about herself -- and what she wants out of life.",https://www.youtube.com/watch?v=2ZAdcWHuCmY,"['based on novel or book', 'love', 'teenage crush']",179.646,5757,7.1
474350,It Chapter Two,2019-09-04,"['Horror', 'Fantasy']",zqUopiAYdRg,"27 years after overcoming the malevolent supernatural entity Pennywise, the former members of the Losers' Club, who have grown up and moved away from Derry, are brought back together by a devastating phone call.",https://www.youtube.com/watch?v=zqUopiAYdRg,"['based on novel or book', 'clown', 'carnival', 'sequel', 'remake', 'maine', 'fear', 'ancient evil', 'loss of a friend']",196.244,5648,6.9
