id,title,release_date,genres,video_key,overview,trailer_url,keywords,popularity,vote_count,vote_average
121,The Lord of the Rings: The Two Towers,2002-12-18,"['Adventure', 'Fantasy', 'Action']",cvCktPUwkW0,"Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",https://www.youtube.com/watch?v=cvCktPUwkW0,"['elves', 'dwarf', 'orcs', 'hobbit', 'based on novel or book', 'explosive', 'cave', 'funeral', 'siege', 'fort', 'army', 'addiction', 'mission', 'attack', 'dragon', 'violence', 'guide', 'death', 'split personality', 'wizard', 'ring', 'live action and animation', 'sword and sorcery', 'middle-earth']",65.123,16064,8.3
672,Harry Potter and the Chamber of Secrets,2002-11-13,"['Adventure', 'Fantasy']",uU-ET1FAv3Y,"Cars fly, trees fight back, and a mysterious house-elf comes to warn Harry Potter at the start of his second year at Hogwarts. Adventure and danger await when bloody writing on a wall announces: The Chamber Of Secrets Has Been Opened. To save Hogwarts will require all of Harry, Ron and Hermione’s magical abilities and courage.",https://www.youtube.com/watch?v=uU-ET1FAv3Y,"['flying car', 'witch', 'magic', 'child hero', 'school of witchcraft', 'giant spider', 'giant snake', 'black magic', 'child driving car', 'wizard', 'aftercreditsstinger', 'based on young adult novel', 'phoenix (mythical bird)']",129.237,15950,7.7
557,Spider-Man,2002-05-01,"['Fantasy', 'Action']",O7zvehDxttM,"After being bitten by a genetically altered spider, nerdy high school student Peter Parker is endowed with amazing powers to become the Amazing superhero known as Spider-Man.",https://www.youtube.com/watch?v=O7zvehDxttM,"['new york city', 'loss of loved one', 'adolescence', 'photographer', 'villain', 'spider', 'bad boss', 'photography', 'hostility', 'superhero', 'based on comic', 'pokies', 'teenage boy', 'teenage love', 'evil', 'goblin', 'taking responsibility', 'spider-man', ""sony's spider-man""]",76.407,13046,7.2
640,Catch Me If You Can,2002-12-25,"['Drama', 'Crime']",71rDQ7z4eFg,"A true story about Frank Abagnale Jr. who, before his 19th birthday, successfully conned millions of dollars worth of checks as a Pan Am pilot, doctor, and legal prosecutor. An FBI agent makes it his mission to put him behind bars. But Frank not only eludes capture, he revels in the pursuit.",https://www.youtube.com/watch?v=71rDQ7z4eFg,"['fbi', 'con man', 'biography', 'based on a true story', 'attempted jailbreak', 'engagement party', 'mislaid trust', 'bank fraud', 'inspired by a true story', 'adapted into play or musical']",32.95,10596,7.9
425,Ice Age,2002-03-10,"['Animation', 'Comedy', 'Family', 'Adventure']",CZShn0PZiYU,"With the impending ice age almost upon them, a mismatched trio of prehistoric critters – Manny the woolly mammoth, Diego the saber-toothed tiger and Sid the giant sloth – find an orphaned infant and decide to return it to its human parents. Along the way, the unlikely allies become friends but, when enemies attack, their quest takes on far nobler aims.",https://www.youtube.com/watch?v=CZShn0PZiYU,"['human evolution', 'loss of loved one', 'parent child relationship', 'squirrel', 'mammoth', 'sloth', 'dying and death', 'stone age', 'prehistoric', 'saber-toothed tiger', 'cavemen', 'prehistoric creature', 'road movie', 'prehistoric adventure', 'prehistoric times', 'prehistoric man']",101.184,9782,7.3
1894,Star Wars: Episode II - Attack of the Clones,2002-05-15,"['Adventure', 'Action', 'Science Fiction']",gYbW1F_c9eM,"Following an assassination attempt on Senator Padmé Amidala, Jedi Knights Anakin Skywalker and Obi-Wan Kenobi investigate a mysterious plot that could change the galaxy forever.",https://www.youtube.com/watch?v=gYbW1F_c9eM,"['laser gun', 'senate', 'investigation', 'army', 'death star', 'jedi', 'cult figure', 'wedding', 'violence', 'kendo', 'space opera', 'spaceport', 'teenage rebellion', 'good becoming evil', 'alien race', 'mechanical hand', 'yoda']",35.838,9677,6.5
608,Men in Black II,2002-07-03,"['Action', 'Adventure', 'Comedy', 'Science Fiction']",p4NJHqoojOU,"Kay and Jay reunite to provide our best, last and only line of defense against a sinister seductress who levels the toughest challenge yet to the MIB's untarnished mission statement – protecting Earth from the scum of the universe. It's been four years since the alien-seeking agents averted an intergalactic disaster of epic proportions. Now it's a race against the clock as Jay must convince Kay – who not only has absolutely no memory of his time spent with the MIB, but is also the only living person left with the expertise to save the galaxy – to reunite with the MIB before the earth submits to ultimate destruction.",https://www.youtube.com/watch?v=p4NJHqoojOU,"['saving the world', 'new york city', 'secret identity', 'undercover', 'space marine', 'illegal immigration', 'deportation', 'new identity', 'flying saucer', 'light', 'firearm', 'alien', 'buddy cop', 'fictional government agency']",36.228,7487,6.3
2501,The Bourne Identity,2002-06-14,"['Action', 'Drama', 'Mystery', 'Thriller']",2tqK_3mKQUw,"Wounded to the brink of death and suffering from amnesia, Jason Bourne is rescued at sea by a fisherman. With nothing to go on but a Swiss bank account number, he starts to reconstruct his life, but finds that many people he encounters want him dead. However, Bourne realizes that he has the combat and mental skills of a world-class spy—but who does he work for?",https://www.youtube.com/watch?v=2tqK_3mKQUw,"['paris, france', 'barcelona, spain', 'assassin', 'based on novel or book', 'secret identity', 'amnesia', 'sniper', 'passport', 'mission of murder', 'lovers', 'flashback', 'escape', 'shootout', 'foot chase', 'cell phone', 'car chase', 'multiple identities', 'surveillance camera', 'hamburg, germany', 'fishing boat', 'langley virginia', 'safe deposit box', 'hand to hand combat']",28.622,6884,7.4
180,Minority Report,2002-06-20,"['Action', 'Thriller', 'Science Fiction', 'Mystery']",,"John Anderton is a top 'Precrime' cop in the late-21st century, when technology can predict crimes before they're committed. But Anderton becomes the quarry when another investigator targets him for a murder charge.",,"['self-fulfilling prophecy', 'washington d.c.', 'based on novel or book', 'future', 'precognition', 'hologram', 'dystopia', 'murder', 'police chase', 'murder investigation', 'neo-noir', 'missing son', 'future noir', 'backyard surgery', 'surveillance state']",20.975,6147,7.3
423,The Pianist,2002-09-17,"['Drama', 'War']",u_jE7-6Uv7E,"The true story of pianist Władysław Szpilman's experiences in Warsaw during the Nazi occupation. When the Jews of the city find themselves forced into a ghetto, Szpilman finds work playing in a café; and when his family is deported in 1942, he stays behind, works for a while as a laborer, and eventually goes into hiding in the ruins of the war-torn city.",https://www.youtube.com/watch?v=u_jE7-6Uv7E,"['resistance', 'holocaust (shoah)', 'hunger', 'world war ii', 'prisoner of war', 'homeland', 'ghetto', 'deportation', 'jew persecution', 'liberation', 'warsaw ghetto', 'polish resistance', 'nazi', 'biography', 'concert', 'survival', 'based on memoir or autobiography', 'pianist', 'poland']",20.867,6071,8.4
65,8 Mile,2002-11-08,"['Music', 'Drama']",-OFKC3nv0oQ,"The setting is Detroit in 1995. The city is divided by 8 Mile, a road that splits the town in half along racial lines. A young white rapper, Jimmy ""B-Rabbit"" Smith Jr. summons strength within himself to cross over these arbitrary boundaries to fulfill his dream of success in hip hop. With his pal Future and the three one third in place, all he has to do is not choke.",https://www.youtube.com/watch?v=-OFKC3nv0oQ,"['individual', 'street gang', 'adolescence', 'rap music', 'hip-hop', 'rhyme battle', 'trailer park', 'ghetto', 'ethnic stereotype', 'single', 'detroit, michigan', 'battle rap']",35.178,5050,7.1
