id,title,release_date,genres,video_key,overview,trailer_url,keywords,popularity,vote_count,vote_average
98,Gladiator,2000-05-01,"['Action', 'Drama', 'Adventure']",AxQajgTyLcM,"In the year 180, the death of emperor Marcus Aurelius throws the Roman Empire into chaos.  Maximus is one of the Roman army's most capable and trusted generals and a key advisor to the emperor.  As Marcus' devious son Commodus ascends to the throne, Maximus is set to be executed.  He escapes, but is captured by slave traders.  Renamed Spaniard and forced to become a gladiator, Maximus must battle to the death with other men for the amusement of paying audiences.",https://www.youtube.com/watch?v=AxQajgTyLcM,"['rome, italy', 'parent child relationship', 'gladiator', 'arena', 'senate', 'roman empire', 'emperor', 'slavery', 'ancient rome', 'battlefield', 'slave auction', 'historical fiction', 'ancient world', 'combat', 'chariot', 'philosopher', 'barbarian horde', '2nd century', 'successor', 'commodus', 'maximus']",40.036,13210,8.2
77,Memento,2000-10-11,"['Mystery', 'Thriller']",Rq9eM4ZXRgs,"Leonard Shelby is tracking down the man who raped and murdered his wife. The difficulty of locating his wife's killer, however, is compounded by the fact that he suffers from a rare, untreatable form of short-term memory loss. Although he can recall details of life before his accident, Leonard cannot remember what happened fifteen minutes ago, where he's going, or why.",https://www.youtube.com/watch?v=Rq9eM4ZXRgs,"['insulin', 'tattoo', 'waitress', 'amnesia', 'drug dealer', 'motel', 'manipulation', 'insurance salesman', 'revenge', 'murder', 'flashback', 'confusion', 'memory loss', 'psychological thriller', 'los angeles, california', 'polaroid', 'cult film', 'nonlinear timeline', 'individuality', 'phone call', 'neo-noir', 'reverse chronology']",29.333,10644,8.2
36657,X-Men,2000-07-13,"['Adventure', 'Action', 'Science Fiction']",VNxwlx6etXI,"Two mutants, Rogue and Wolverine, come to a private academy for their kind whose resident superhero team, the X-Men, must oppose a terrorist organization with similar powers.",https://www.youtube.com/watch?v=VNxwlx6etXI,"['mutant', 'superhero', 'based on comic', 'superhuman', 'x-men', ""fox's marvel universe""]",2.531,8562,7
8358,Cast Away,2000-12-22,"['Adventure', 'Drama']",4olwbrY2kwE,"Chuck Nolan, a top international manager for FedEx, and Kelly, a Ph.D. student, are in love and heading towards marriage. Then Chuck's plane to Malaysia crashes at sea during a terrible storm. He's the only survivor, and finds himself marooned on a desolate island. With no way to escape, Chuck must find ways to survive in his new home.",https://www.youtube.com/watch?v=4olwbrY2kwE,"['exotic island', 'suicide attempt', 'volleyball', 'loneliness', 'survival', 'airplane crash', 'deserted island', 'tropical island']",27.554,8219,7.6
641,Requiem for a Dream,2000-10-06,"['Crime', 'Drama', 'Thriller']",lgo3Hb5vWLE,The hopes and dreams of four ambitious people are shattered when their drug addictions begin spiraling out of control. A look into addiction and how it overcomes the mind and body.,https://www.youtube.com/watch?v=lgo3Hb5vWLE,"['drug addiction', 'junkie', 'heroin', 'speed', 'diet', 'unsociability', 'illegal prostitution']",11.624,6961,8
9741,Unbreakable,2000-11-22,"['Thriller', 'Drama', 'Mystery']",UM-Xo8aSbcI,"An ordinary man makes an extraordinary discovery when a train accident leaves his fellow passengers dead — and him unscathed. The answer to this mystery could lie with the mysterious Elijah Price, a man who suffers from a disease that renders his bones as fragile as glass.",https://www.youtube.com/watch?v=UM-Xo8aSbcI,"['philadelphia, pennsylvania', 'parent child relationship', 'train accident', 'comic book', 'marriage crisis', 'invulnerability', 'superhero', 'super power']",31.358,6851,7.1
107,Snatch,2000-09-01,"['Crime', 'Comedy']",ni4tEtuTccc,"Illegal boxing promoter Turkish convinces gangster Brick Top to offer bets on bare-knuckle boxer Mickey at his bookie business. When Mickey does not throw his first fight as agreed, an infuriated Brick Top demands another match. Meanwhile, gangster Frankie Four Fingers comes to place a bet for a friend with Brick Top's bookies, as multiple criminals converge on a stolen diamond that Frankie has come to London to sell.",https://www.youtube.com/watch?v=ni4tEtuTccc,"['england', 'gypsy', 'gambling', 'bare knuckle boxing', 'slang', 'robbery', 'trailer park', 'antwerp', 'boxer', 'pig', 'violence', 'underground fighting', 'cult film', 'diamond heist', 'pikey']",21.804,6409,7.8
1359,American Psycho,2000-04-13,"['Thriller', 'Drama', 'Crime', 'Horror']",5YnGhW4UEhc,"A wealthy New York investment banking executive hides his alternate psychopathic ego from his co-workers and friends as he escalates deeper into his illogical, gratuitous fantasies.",https://www.youtube.com/watch?v=5YnGhW4UEhc,"['based on novel or book', 'business man', 'wall street', 'psychopath', 'satire', 'dark comedy', 'serial killer', 'big city', 'psychological thriller', 'city', 'cult film', 'white collar', 'harvard business school', 'child of divorce', 'voice imitation', 'unreliable narrator', 'woman director', '1980s', 'american businessman']",23.236,6284,7.3
8871,How the Grinch Stole Christmas,2000-11-17,"['Family', 'Comedy', 'Fantasy']",myTaigPrbsg,"Inside a snowflake exists the magical land of Whoville. In Whoville, live the Whos, an almost mutated sort of Munchkin-like people. All the Whos love Christmas, yet just outside of their beloved Whoville lives the Grinch. The Grinch is a nasty creature that hates Christmas, and plots to steal it away from the Whos, whom he equally abhors. Yet a small child, Cindy Lou Who, decides to try befriending the Grinch.",https://www.youtube.com/watch?v=myTaigPrbsg,"['holiday', 'christmas party', 'new love', 'santa claus', 'village', 'dr. seuss', 'christmas']",62.066,5178,6.7
11688,The Emperor's New Groove,2000-12-15,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",Hjvy8vc39kw,"Kuzco is a self-centered emperor who summons Pacha from a village and to tell him that his home will be destroyed to make room for Kuzco's new summer home. Kuzco's advisor, Yzma, tries to poison Kuzco and accidentally turns him into a llama, who accidentally ends up in Pacha's village. Pacha offers to help Kuzco if he doesn't destroy his house, and so they form an unlikely partnership.",https://www.youtube.com/watch?v=Hjvy8vc39kw,"['central and south america', 'birthday', 'emperor', 'palace', 'kingdom', 'peru', 'berater', 'incan empire', 'breaking the fourth wall', 'assassination attempt', 'llama', '15th century']",60.125,4789,7.5
