id,title,release_date,genres,video_key,overview,trailer_url,keywords,popularity,vote_count,vote_average
675,Harry Potter and the Order of the Phoenix,2007-06-28,"['Adventure', 'Fantasy', 'Mystery']",WIj9DYJ5EKk,"Returning for his fifth year of study at Hogwarts, Harry is stunned to find that his warnings about the return of Lord Voldemort have been ignored. Left with no choice, Harry takes matters into his own hands, training a small group of students – dubbed 'Dumbledore's Army' – to defend themselves against the dark arts.",https://www.youtube.com/watch?v=WIj9DYJ5EKk,"['prophecy', 'witch', 'loss of loved one', 'magic', 'child hero', 'dying and death', 'school of witchcraft', 'black magic', 'sorcery', 'supernatural', 'occult', 'mystical land', 'based on young adult novel']",114.244,14391,7.7
2062,Ratatouille,2007-06-22,"['Animation', 'Comedy', 'Family', 'Fantasy']",jOGDozdW9Yo,"A rat named Remy dreams of becoming a great French chef despite his family's wishes and the obvious problem of being a rat in a decidedly rodent-phobic profession. When fate places Remy in the sewers of Paris, he finds himself ideally situated beneath a restaurant made famous by his culinary hero, Auguste Gusteau. Despite the apparent dangers of being an unlikely - and certainly unwanted - visitor in the kitchen of a fine French restaurant, Remy's passion for cooking soon sets into motion a hilarious and exciting rat race that turns the culinary world of Paris upside down.",https://www.youtube.com/watch?v=jOGDozdW9Yo,"['paris, france', 'sibling relationship', 'expensive restaurant', 'river', 'cook', 'mouse', 'evacuation', 'confidence', ""leaving one's family"", 'work', 'restaurant critic', 'spice', 'cookbook', 'food', 'chef', 'sewer', 'unlikely friendship', 'rat']",65.884,12155,7.7
6479,I Am Legend,2007-12-12,"['Drama', 'Science Fiction', 'Thriller']",sFNPNT_4Qww,"Robert Neville is a scientist who was unable to stop the spread of the terrible virus that was incurable and man-made. Immune, Neville is now the last human survivor in what is left of New York City and perhaps the world. For three years, Neville has faithfully sent out daily radio messages, desperate to find any other survivors who might be out there. But he is not alone.",https://www.youtube.com/watch?v=sFNPNT_4Qww,"['saving the world', 'lost civilisation', 'post-apocalyptic future', 'dystopia', 'infection', 'matter of life and death', 'alone', 'helplessness', 'zombie', 'virus', 'pandemic']",60.158,11849,7.2
285,Pirates of the Caribbean: At World's End,2007-05-19,"['Adventure', 'Fantasy', 'Action']",HKSZtp_OGHY,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.",https://www.youtube.com/watch?v=HKSZtp_OGHY,"['exotic island', 'east india trading company', ""love of one's life"", 'traitor', 'shipwreck', 'strong woman', 'singapore', 'afterlife', 'pirate', 'monkey', 'swashbuckler', 'rum', 'aftercreditsstinger', 'mass hanging']",55.302,10649,7.2
559,Spider-Man 3,2007-05-01,"['Fantasy', 'Action', 'Adventure']",wPosLpgMtTY,"The seemingly invincible Spider-Man goes up against an all-new crop of villains—including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.",https://www.youtube.com/watch?v=wPosLpgMtTY,"['loss of loved one', 'dual identity', 'amnesia', 'sandstorm', ""love of one's life"", 'forgiveness', 'spider', 'wretch', 'egomania', 'sand', 'narcism', 'hostility', 'sequel', 'superhero', 'based on comic', 'revenge', 'spider-man', ""sony's spider-man""]",60.146,9488,6.2
1858,Transformers,2007-06-27,"['Adventure', 'Science Fiction', 'Action']",PzfEgYJcedw,"Young teenager, Sam Witwicky becomes involved in the ancient struggle between two extraterrestrial factions of transforming robots – the heroic Autobots and the evil Decepticons. Sam holds the clue to unimaginable power and the Decepticons will stop at nothing to retrieve it.",https://www.youtube.com/watch?v=PzfEgYJcedw,"['destroy', 'transformation', 'alien', 'based on toy', 'transformers', 'robot', 'duringcreditsstinger', 'teenage hero', 'griffith observatory']",12.385,8247,6.7
6977,No Country for Old Men,2007-11-08,"['Crime', 'Drama', 'Thriller']",aCjnUJjWb38,"Llewelyn Moss stumbles upon dead bodies, $2 million and a hoard of heroin in a Texas desert, but methodical killer Anton Chigurh comes looking for it, with local sheriff Ed Tom Bell hot on his trail. The roles of prey and predator blur as the violent pursuit of money and justice collide.",https://www.youtube.com/watch?v=aCjnUJjWb38,"['vietnam veteran', 'sheriff', 'based on novel or book', 'texas', 'drug traffic', 'hitman', 'united states–mexico border', 'violence', 'desert', 'neo-western', 'cold blooded killer', 'neo-noir', '1980s', 'coin toss', 'captive bolt gun', 'western noir']",25.597,8231,7.9
5915,Into the Wild,2007-09-11,"['Adventure', 'Drama']",g7ArZ7VD-QQ,"After graduating from Emory University in 1992, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity, and hitchhikes to Alaska to live in the wilderness.",https://www.youtube.com/watch?v=g7ArZ7VD-QQ,"['parent child relationship', 'camping', 'self-discovery', 'wilderness', 'biography', 'based on a true story', 'alaska', 'journey']",16.925,7430,7.8
1949,Zodiac,2007-03-02,"['Crime', 'Drama', 'Mystery', 'Thriller']",dJ0oNfjzx4k,"The true story of the investigation of the ""Zodiac Killer"", a serial killer who terrified the San Francisco Bay Area, taunting police with his ciphers and letters. The case becomes an obsession for three men as their lives and careers are built and destroyed by the endless trail of clues.",https://www.youtube.com/watch?v=dJ0oNfjzx4k,"['california', 'san francisco, california', 'killing', 'journalist', 'newspaper', 'bar', '1970s', 'planned murder', 'victim', 'code', 'investigation', 'police', 'murder', 'serial killer', 'crime scene', 'reporter', '1960s']",36.526,7004,7.5
810,Shrek the Third,2007-05-17,"['Fantasy', 'Adventure', 'Animation', 'Comedy', 'Family']",InR865IDDjU,"The King of Far Far Away has died and Shrek and Fiona are to become King & Queen. However, Shrek wants to return to his cozy swamp and live in peace and quiet, so when he finds out there is another heir to the throne, they set off to bring him back to rule the kingdom.",https://www.youtube.com/watch?v=InR865IDDjU,"['ambush', 'sadness', 'stage', 'liberation of prisoners', 'island', 'traitor', 'shipwreck', 'prince', 'pregnancy', 'ship', 'donkey', 'kingdom', 'theatre play', 'transformation', 'conciliation', 'tricks', 'heir to the throne', 'assault', 'boarding school', 'teacher', 'best friend', 'dragon', 'cowardliness', 'capture', 'duringcreditsstinger', 'ogre']",49.595,6454,6.2
