id,title,release_date,genres,video_key,overview,trailer_url,keywords,popularity,vote_count,vote_average
19995,Avatar,2009-12-10,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",5PSNL1qE6VY,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",https://www.youtube.com/watch?v=5PSNL1qE6VY,"['culture clash', 'future', 'space war', 'space colony', 'society', 'space travel', 'futuristic', 'romance', 'space', 'alien', 'tribe', 'alien planet', 'marine', 'soldier', 'battle', 'love affair', 'space opera', 'anti war', 'power relations', 'mind and soul']",85.299,22907,7.5
16869,Inglourious Basterds,2009-08-18,"['Drama', 'Action', 'Thriller', 'War']",sE8hc4gVyGo,"In Nazi-occupied France during World War II, a group of Jewish-American soldiers known as ""The Basterds"" are chosen specifically to spread fear throughout the Third Reich by scalping and brutally killing Nazis. The Basterds, lead by Lt. Aldo Raine soon cross paths with a French-Jewish teenage girl who runs a movie theater in Paris which is targeted by the soldiers.",https://www.youtube.com/watch?v=sE8hc4gVyGo,"['paris, france', 'guerrilla', 'cinema', 'self sacrifice', 'dynamite', 'mexican standoff', 'world war ii', 'jew persecution', 'nazi', 'masochism', 'sadism', 'anti-semitism', 'swastika', 'german occupation of france', 'violence', 'british politics', 'hitler', 'adolf hitler']",39.224,16323,8.2
14160,Up,2009-05-28,"['Animation', 'Comedy', 'Family', 'Adventure']",Ajcdb4FAL7A,"Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. But at age 78, life seems to have passed him by, until a twist of fate (and a persistent 8-year old Wilderness Explorer named Russell) gives him a new lease on life.",https://www.youtube.com/watch?v=Ajcdb4FAL7A,"['age difference', 'central and south america', 'balloon', 'travel', 'dog', 'duringcreditsstinger', 'exploring', 'senior']",54.856,15415,7.9
767,Harry Potter and the Half-Blood Prince,2009-07-07,"['Adventure', 'Fantasy']",JYLdTuL9Wjw,"As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.",https://www.youtube.com/watch?v=JYLdTuL9Wjw,"['witch', 'magic', 'school of witchcraft', 'apparition', 'teenage crush', 'school', 'werewolf', 'wizard', 'based on young adult novel']",116.708,14161,7.7
18785,The Hangover,2009-06-02,['Comedy'],jj6wcUes1no,"When three friends finally come to after a raucous night of bachelor-party revelry, they find a baby in the closet and a tiger in the bathroom. But they can't seem to locate their best friend, Doug – who's supposed to be tying the knot. Launching a frantic search for Doug, the trio perseveres through a nasty hangover to try to make it to the church on time.",https://www.youtube.com/watch?v=jj6wcUes1no,"['blackjack', 'stag night', 'hangover', 'lost weekend', 'bag over head', 'chapel', 'hit with tire iron', 'memory loss', 'las vegas', 'drugs', 'duringcreditsstinger', 'elevator']",76.706,13019,7.3
10528,Sherlock Holmes,2009-12-23,"['Action', 'Adventure', 'Crime', 'Mystery']",LiBzbNk0lZ0,"Eccentric consulting detective, Sherlock Holmes and Doctor John Watson battle to bring down a new nemesis and unravel a deadly plot that could destroy England.",https://www.youtube.com/watch?v=LiBzbNk0lZ0,"['london, england', 'detective', 'scotland yard', 'based on novel or book', 'coffin', 'black magic', 'arrest', 'partner', 'murder', 'steampunk', 'serial killer', 'pentagram', 'clue', 'victorian era', '1890s']",28.949,11125,7.2
14161,2012,2009-10-10,"['Action', 'Adventure', 'Science Fiction']",sFXGrTng0gQ,"Dr. Adrian Helmsley, part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. He warns U.S. President Thomas Wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population, the entire race is doomed. Meanwhile, writer Jackson Curtis stumbles on the same information. While the world's leaders race to build ""arks"" to escape the impending cataclysm, Curtis struggles to find a way to save his family. Meanwhile, volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world.",https://www.youtube.com/watch?v=sFXGrTng0gQ,"['civilization', 'earthquake', 'race against time', 'natural disaster', 'maya civilization', 'end of the world', 'disaster', 'apocalypse', 'destruction', 'volcanic eruption', 'flood', 'ark', 'solar', 'disaster film']",42.011,9418,5.8
19908,Zombieland,2009-10-07,"['Comedy', 'Horror']",8m9EVP8X7N8,"Columbus has made a habit of running from what scares him. Tallahassee doesn't have fears. If he did, he'd kick their ever-living ass. In a world overrun by zombies, these two are perfectly evolved survivors. But now, they're about to stare down the most terrifying prospect of all: each other.",https://www.youtube.com/watch?v=8m9EVP8X7N8,"['circus', 'sibling relationship', 'washington d.c.', 'post-apocalyptic future', 'road trip', 'blood splatter', 'parody', 'gore', 'zombie', 'violence', 'survival horror', 'amusement park', 'twinkie', 'body count', 'zombification', 'disposing of a dead body', 'loner', 'aftercreditsstinger', 'zombie apocalypse', 'fear of clowns']",49.229,9148,7.3
2080,X-Men Origins: Wolverine,2009-04-28,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",8TQ-gD4UCmI,"After seeking to live a normal life, Logan sets out to avenge the death of his girlfriend by undergoing the mutant Weapon X program and becoming Wolverine.",https://www.youtube.com/watch?v=8TQ-gD4UCmI,"['corruption', 'mutant', 'boxer', 'army', 'prequel', 'superhero', 'based on comic', 'spin off', 'aftercreditsstinger', 'duringcreditsstinger', 'x-men', ""fox's marvel universe""]",4.746,8030,6.2
13475,Star Trek,2009-05-06,"['Science Fiction', 'Action', 'Adventure']",iGAHnZ555nI,"The fate of the galaxy rests in the hands of bitter rivals. One, James Kirk, is a delinquent, thrill-seeking Iowa farm boy. The other, Spock, a Vulcan, was raised in a logic-based society that rejects all emotion. As fiery instinct clashes with calm reason, their unlikely but powerful partnership is the only thing capable of leading their crew through unimaginable danger, boldly going where no one has gone before. The human adventure has begun again.",https://www.youtube.com/watch?v=iGAHnZ555nI,"['san francisco, california', 'spacecraft', 'teleportation', 'space mission', 'parachute', 'time travel', 'black hole', 'supernova', 'prequel', 'warp speed', 'futuristic', 'warp engine', 'space', 'romulans', 'alternate reality', 'space opera', 'reboot', 'unlikely friendship', 'child driving car', '23rd century', 'based on tv series', '24th century']",30.276,7696,7.4
