id,title,release_date,genres,video_key,overview,trailer_url,keywords,popularity,vote_count,vote_average
24428,The Avengers,2012-04-25,"['Science Fiction', 'Action', 'Adventure']",eOrNdBpGMv8,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",https://www.youtube.com/watch?v=eOrNdBpGMv8,"['new york city', 'shield', 'superhero', 'based on comic', 'alien invasion', 'superhero team', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe']",160.702,23963,7.7
68718,Django Unchained,2012-12-25,"['Drama', 'Western']",rC8VJ9aeB_g,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",https://www.youtube.com/watch?v=rC8VJ9aeB_g,"['bounty hunter', 'hero', 'plantation', 'society', 'friendship', 'friends', 'revenge', 'rivalry', 'rescue', 'shootout', 'racism', 'dentist', 'django', 'aftercreditsstinger', 'odd couple', 'black slave', 'deadly', '19th century']",37.406,19984,8.1
70160,The Hunger Games,2012-03-12,"['Science Fiction', 'Adventure', 'Fantasy']",mfmrPu43DF8,"Every year in the ruins of what was once North America, the nation of Panem forces each of its twelve districts to send a teenage boy and girl to compete in the Hunger Games.  Part twisted entertainment, part government intimidation tactic, the Hunger Games are a nationally televised event in which “Tributes” must fight with one another until one survivor remains.  Pitted against highly-trained Tributes who have prepared for these Games their entire lives, Katniss is forced to rely upon her sharp instincts as well as the mentorship of drunken former victor Haymitch Abernathy.  If she’s ever to return home to District 12, Katniss must make impossible choices in the arena that weigh survival against humanity and life against love. The world will be watching.",https://www.youtube.com/watch?v=mfmrPu43DF8,"['based on novel or book', 'dystopia', 'female protagonist', 'bow and arrow', 'game', 'archery', 'based on young adult novel']",39.678,17437,7.2
49026,The Dark Knight Rises,2012-07-16,"['Action', 'Crime', 'Drama', 'Thriller']",7gFwvozMHR4,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",https://www.youtube.com/watch?v=7gFwvozMHR4,"['dc comics', 'crime fighter', 'terrorist', 'secret identity', 'burglar', 'hostage', 'fight', 'time bomb', 'vigilante', 'cover-up', 'superhero', 'based on comic', 'villainess', 'tragic hero', 'mobile', 'terrorism', 'destruction', 'city', 'fighting', 'criminal underworld', 'catwoman', 'cat burglar', 'flood', 'batmobile']",58.886,17318,7.7
49051,The Hobbit: An Unexpected Journey,2012-11-26,"['Adventure', 'Fantasy', 'Action']",SDnYMbYB-nU,"Bilbo Baggins, a hobbit enjoying his quiet life, is swept into an epic quest by Gandalf the Grey and thirteen dwarves who seek to reclaim their mountain home from Smaug, the dragon.",https://www.youtube.com/watch?v=SDnYMbYB-nU,"['riddle', 'elves', 'dwarf', 'orcs', 'hobbit', 'based on novel or book', 'mountain', 'wizard', 'journey', 'ring', 'goblin', 'courage', 'giant', 'tunnel', 'underground lake', 'buried treasure', 'climbing a tree', 'invisibility', 'ancient', 'gnomes', 'middle-earth']",60.324,14407,7.3
1930,The Amazing Spider-Man,2012-06-23,"['Action', 'Adventure', 'Fantasy']",-tnxzJ0SSOw,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.",https://www.youtube.com/watch?v=-tnxzJ0SSOw,"['loss of loved one', 'experiment', 'vigilante', 'serum', 'based on comic', 'super power', 'spider bite', 'masked vigilante', 'reboot', 'genetic engineering', 'social outcast', 'duringcreditsstinger', 'virus']",71.494,12559,6.6
37724,Skyfall,2012-10-25,"['Action', 'Adventure', 'Thriller']",6kw1UVovByw,"When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory, the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve - following a trail to the mysterious Silva, whose lethal and hidden motives have yet to reveal themselves.",https://www.youtube.com/watch?v=6kw1UVovByw,"['spy', 'secret agent', 'sociopath', 'killer', 'art gallery', 'british secret service', 'uzi', 'booby trap', 'impersonating a police officer', 'macao', 'komodo dragon']",42.082,12278,7.2
87827,Life of Pi,2012-11-20,"['Adventure', 'Drama', 'Action']",j9Hjrs6WQ8M,"The story of an Indian boy named Pi, a zookeeper's son who finds himself in the company of a hyena, zebra, orangutan, and a Bengal tiger after a shipwreck sets them adrift in the Pacific Ocean.",https://www.youtube.com/watch?v=j9Hjrs6WQ8M,"['1970s', 'shipwreck', 'tiger', 'faith', 'zebra', 'zookeeper', 'orangutan', 'teenage boy', 'hyena', 'meerkat', 'cargo ship', 'lifeboat', 'injured animal', 'storm at sea', 'told in flashback', 'wreckage', 'teenage protagonist']",31.728,10541,7.4
62177,Brave,2012-06-21,"['Animation', 'Adventure', 'Comedy', 'Family', 'Action', 'Fantasy']",TEHWDA_6e3M,"Brave is set in the mystical Scottish Highlands, where Mérida is the princess of a kingdom ruled by King Fergus and Queen Elinor. An unruly daughter and an accomplished archer, Mérida one day defies a sacred custom of the land and inadvertently brings turmoil to the kingdom. In an attempt to set things right, Mérida seeks out an eccentric old Wise Woman and is granted an ill-fated wish. Also figuring into Mérida’s quest — and serving as comic relief — are the kingdom’s three lords: the enormous Lord MacGuffin, the surly Lord Macintosh, and the disagreeable Lord Dingwall.",https://www.youtube.com/watch?v=TEHWDA_6e3M,"['scotland', 'rebel', 'bravery', 'kingdom', 'archer', 'wish', 'bear', 'scot', 'rebellious daughter', 'turns into animal', 'archery', 'ruins', 'aftercreditsstinger', 'peace offering', 'woman director', 'courage', 'quest', 'rebelle']",49.711,10361,7
82690,Wreck-It Ralph,2012-11-01,"['Family', 'Animation', 'Comedy', 'Adventure']",JPSQOomMWro,"Wreck-It Ralph is the 9-foot-tall, 643-pound villain of an arcade video game named Fix-It Felix Jr., in which the game's titular hero fixes buildings that Ralph destroys. Wanting to prove he can be a good guy and not just a villain, Ralph escapes his game and lands in Hero's Duty, a first-person shooter where he helps the game's hero battle against alien invaders. He later enters Sugar Rush, a kart racing game set on tracks made of candies, cookies and other sweets. There, Ralph meets Vanellope von Schweetz who has learned that her game is faced with a dire threat that could affect the entire arcade, and one that Ralph may have inadvertently started.",https://www.youtube.com/watch?v=JPSQOomMWro,"['support group', 'product placement', 'bullying', 'jail', 'racing', 'arcade', 'medal', 'self esteem', 'curiosity', 'precocious child', 'aftercreditsstinger', 'duringcreditsstinger', 'first person shooter', 'glitch', 'carefree', 'video gamer', 'q*bert', 'interrupted wedding', 'social reject', 'escape from jail', 'hoverboard', 'purpose of life']",81.441,9589,7.3
